epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.2307,3.63462,7.06876,0.06879,5e-05,0.03529,3e-05,1e-05,3.64844,8.00732,0.09708,0.000410354,0.000410354,0.000410354
2,93.8428,2.82702,4.22421,0.05179,0.00592,0.59848,0.01685,0.00382,2.82396,3.53302,0.08707,0.000825383,0.000825383,0.000825383
3,125.2,2.61728,3.3253,0.04745,0.00824,0.15072,0.00678,0.00192,2.48269,4.8559,0.07974,0.00123876,0.00123876,0.00123876
4,156.192,2.428,3.06921,0.04541,0.11463,0.16019,0.08226,0.02723,2.04202,3.29644,0.05759,0.00124257,0.00124257,0.00124257
5,187.401,2.22531,2.81202,0.03933,0.21882,0.21464,0.13891,0.0439,2.10198,3.01551,0.06102,0.0012401,0.0012401,0.0012401
6,218.479,2.19524,2.70201,0.04026,0.20213,0.2643,0.15061,0.05446,2.02602,2.79534,0.05787,0.00123763,0.00123763,0.00123763
7,249.609,2.02035,2.58015,0.03659,0.279,0.3295,0.24102,0.09433,1.96637,2.56611,0.05788,0.00123515,0.00123515,0.00123515
8,280.787,1.91323,2.46092,0.03269,0.27955,0.32487,0.25681,0.0985,1.88709,2.42852,0.05289,0.00123268,0.00123268,0.00123268
9,311.943,1.87828,2.34982,0.03323,0.30903,0.34439,0.28287,0.11618,1.7847,2.40075,0.05315,0.0012302,0.0012302,0.0012302
10,343.143,1.81949,2.25643,0.03134,0.36304,0.38875,0.33757,0.16314,1.69055,2.12793,0.04889,0.00122773,0.00122773,0.00122773
11,374.364,1.78739,2.19868,0.03106,0.38994,0.3915,0.34179,0.18043,1.64878,2.13079,0.04676,0.00122525,0.00122525,0.00122525
12,405.396,1.73623,2.08685,0.03033,0.44235,0.45557,0.40596,0.20752,1.72142,1.93661,0.05159,0.00122277,0.00122277,0.00122277
13,436.519,1.67659,2.02745,0.02819,0.43088,0.43298,0.37749,0.17546,1.76221,2.26233,0.04801,0.0012203,0.0012203,0.0012203
14,467.467,1.65607,1.92998,0.02917,0.47931,0.4773,0.42286,0.20433,1.63922,1.9523,0.04636,0.00121783,0.00121783,0.00121783
15,498.529,1.64211,1.8984,0.02794,0.49851,0.43737,0.43012,0.21713,1.79658,2.00737,0.05272,0.00121535,0.00121535,0.00121535
16,529.613,1.60026,1.82912,0.02688,0.56437,0.46702,0.47113,0.25681,1.57954,1.82795,0.04202,0.00121287,0.00121287,0.00121287
17,560.783,1.63813,1.8349,0.02667,0.5444,0.46753,0.48623,0.25376,1.6429,1.87985,0.0463,0.0012104,0.0012104,0.0012104
18,591.819,1.57996,1.77398,0.02706,0.44121,0.46066,0.45773,0.25514,1.61923,1.85725,0.0453,0.00120793,0.00120793,0.00120793
19,622.859,1.5773,1.73283,0.0277,0.59897,0.42202,0.50529,0.29189,1.63523,1.72155,0.0478,0.00120545,0.00120545,0.00120545
20,653.978,1.5298,1.71475,0.02594,0.56206,0.51551,0.5521,0.32004,1.44669,1.62251,0.03899,0.00120298,0.00120298,0.00120298
21,685.132,1.51626,1.64357,0.02589,0.62589,0.55995,0.59995,0.34229,1.49518,1.48967,0.04037,0.0012005,0.0012005,0.0012005
22,716.25,1.54254,1.69898,0.02716,0.562,0.48631,0.51592,0.26675,1.72195,1.74312,0.04762,0.00119802,0.00119802,0.00119802
23,747.31,1.48162,1.60226,0.02471,0.59224,0.56734,0.58073,0.33045,1.51268,1.532,0.04156,0.00119555,0.00119555,0.00119555
24,778.304,1.47408,1.58131,0.02474,0.63569,0.50367,0.56591,0.33271,1.57531,1.74742,0.04516,0.00119308,0.00119308,0.00119308
25,809.344,1.44268,1.53805,0.02428,0.62771,0.45628,0.54564,0.32058,1.36955,1.78236,0.03583,0.0011906,0.0011906,0.0011906
26,840.296,1.42962,1.53678,0.02417,0.65173,0.5622,0.6308,0.36222,1.51346,1.48416,0.04187,0.00118812,0.00118812,0.00118812
