epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,271.095,3.74764,6.54803,0.043,0.00039,0.03007,0.00027,6e-05,3.64279,4.01985,0.0505,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268
2,458.989,3.25721,5.08546,0.03628,0.75773,0.00575,0.0048,0.00128,2.71817,3.6348,0.03825,0.0199285,0.00664284,0.0199285,0.00664284,0.0199285,0.00664284,0.0199285,0.00664284
3,633.116,2.5583,3.74285,0.02568,0.69815,0.03346,0.01938,0.00635,2.46718,3.24595,0.03178,0.0298494,0.00994979,0.0298494,0.00994979,0.0298494,0.00994979,0.0298494,0.00994979
4,803.306,2.34956,3.30737,0.02215,0.66788,0.05422,0.0434,0.01491,2.26473,3.12329,0.02818,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,973.701,2.21069,3.05974,0.02027,0.50407,0.08938,0.06858,0.02907,2.1857,2.79392,0.02635,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1144.06,2.12631,2.86878,0.01886,0.26359,0.13608,0.1011,0.03915,2.16793,2.60496,0.02579,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1314.09,2.06556,2.70387,0.01814,0.19445,0.14243,0.10877,0.04484,2.09558,2.49017,0.02522,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1485.09,2.02351,2.59138,0.01729,0.25593,0.17018,0.11749,0.05233,2.02365,2.47649,0.02359,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1656.8,1.98234,2.49208,0.01698,0.24501,0.19854,0.16163,0.07909,1.97932,2.29161,0.0229,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1830.22,1.94474,2.42721,0.01633,0.3289,0.20867,0.16954,0.08227,1.96362,2.24074,0.02239,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,2003.91,1.91719,2.33599,0.01591,0.24505,0.19176,0.1878,0.08735,1.93508,2.14822,0.0222,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,2174.3,1.88719,2.31005,0.01594,0.28837,0.21332,0.19456,0.0948,1.88394,2.06485,0.02158,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,2344.73,1.85802,2.23526,0.01539,0.30197,0.24295,0.21222,0.10574,1.87575,2.08073,0.02108,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,2515.44,1.84234,2.17811,0.01514,0.2965,0.26148,0.23567,0.11848,1.83539,1.97074,0.0204,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,2685.56,1.82128,2.13419,0.01496,0.36119,0.28318,0.23561,0.12131,1.80732,1.94207,0.02019,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
