epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,509.53,3.55971,6.87173,0.04882,0.9231,0.00476,0.00221,0.00047,3.1821,4.14415,0.04582,0.00998794,0.00332931,0.00998794,0.00332931,0.00998794,0.00332931,0.00998794,0.00332931
2,893.382,2.39794,3.87618,0.02905,0.30229,0.06454,0.03833,0.01329,2.42606,3.6485,0.03094,0.0199484,0.00664945,0.0199484,0.00664945,0.0199484,0.00664945,0.0199484,0.00664945
3,1241.18,1.95978,2.69659,0.02164,0.22174,0.10748,0.08031,0.0382,2.28404,2.97472,0.02828,0.0298692,0.0099564,0.0298692,0.0099564,0.0298692,0.0099564,0.0298692,0.0099564
4,1576.47,1.79211,2.29642,0.01898,0.21507,0.16782,0.11932,0.0573,2.16015,2.63327,0.02623,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1911.91,1.66183,2.04225,0.01721,0.23972,0.22163,0.15624,0.08242,2.06133,2.46552,0.02457,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2248.33,1.56512,1.88616,0.01583,0.35567,0.24988,0.21859,0.10825,2.00042,2.30825,0.02316,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2584.44,1.51074,1.7881,0.01484,0.37105,0.24829,0.24051,0.12987,1.9335,2.22537,0.02204,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2920.01,1.45289,1.6964,0.01422,0.32926,0.30299,0.26549,0.14467,1.87938,2.08159,0.02135,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,3254.7,1.4244,1.62229,0.01377,0.37938,0.28226,0.26176,0.1417,1.85268,2.03423,0.02075,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,3590.06,1.39449,1.57534,0.01341,0.41526,0.29941,0.28381,0.15978,1.79566,1.95536,0.01965,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3925.3,1.3717,1.54145,0.01299,0.46685,0.28269,0.30695,0.16992,1.78592,1.95533,0.01944,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,4260.16,1.34987,1.50509,0.01263,0.46588,0.32464,0.34428,0.20221,1.77057,1.95128,0.01902,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,4595.21,1.3189,1.45125,0.01235,0.46135,0.32651,0.33534,0.19371,1.72976,1.8591,0.0187,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,4931.43,1.28881,1.41802,0.01199,0.44924,0.37605,0.33384,0.19662,1.72491,1.88048,0.01859,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,5267.66,1.27732,1.38814,0.01192,0.47729,0.36877,0.36511,0.21263,1.70263,1.77084,0.01804,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,5604.44,1.26524,1.36498,0.01178,0.44309,0.39173,0.36865,0.21188,1.6602,1.76987,0.01767,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,5939.83,1.25838,1.35249,0.01145,0.47099,0.39721,0.37717,0.22327,1.6654,1.73633,0.01762,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,6275.35,1.23771,1.32189,0.01137,0.51874,0.36457,0.38951,0.23076,1.66854,1.71622,0.01762,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,6612.41,1.23153,1.29987,0.01123,0.5255,0.36386,0.40086,0.23582,1.65659,1.70502,0.01728,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,6949.17,1.22312,1.29065,0.011,0.52092,0.40471,0.40414,0.24485,1.63705,1.68953,0.01718,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,7284.92,1.20469,1.26272,0.01085,0.47698,0.39195,0.42516,0.25258,1.62677,1.64653,0.01697,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,7620.37,1.21251,1.24849,0.01077,0.56538,0.41344,0.43135,0.26486,1.62374,1.64143,0.01657,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,7955.68,1.19168,1.23868,0.01069,0.53837,0.40758,0.42895,0.26074,1.60052,1.61101,0.01636,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,8291.17,1.17991,1.22149,0.01057,0.54919,0.40531,0.42886,0.26488,1.60299,1.61151,0.01628,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,8626.05,1.18043,1.22067,0.01046,0.52153,0.42327,0.44672,0.28247,1.58455,1.58495,0.01605,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,8962.12,1.15643,1.18786,0.01038,0.51844,0.43752,0.44333,0.27056,1.56028,1.57147,0.01576,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,9297.54,1.15738,1.18028,0.01019,0.53666,0.46204,0.47443,0.29013,1.56144,1.56325,0.01564,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,9633.45,1.1601,1.18258,0.01016,0.58981,0.44215,0.47251,0.29465,1.55196,1.56727,0.01562,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,9969.11,1.14793,1.16847,0.01001,0.52432,0.43603,0.46734,0.29216,1.5568,1.53459,0.01575,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,10304.9,1.13756,1.14946,0.00999,0.65874,0.4201,0.48699,0.29796,1.55081,1.50612,0.01568,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,10641,1.13855,1.13965,0.00995,0.57934,0.45557,0.47969,0.29467,1.54659,1.52236,0.01536,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,10976.4,1.13477,1.12675,0.00995,0.57423,0.44973,0.48849,0.29859,1.54371,1.50352,0.01559,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,11313.6,1.11125,1.11243,0.00972,0.65233,0.44012,0.51023,0.31876,1.51373,1.49181,0.01518,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,11649.6,1.11568,1.10661,0.00982,0.58137,0.47771,0.49559,0.31855,1.51495,1.46934,0.01512,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,11985.2,1.11249,1.09368,0.00978,0.61972,0.48979,0.519,0.32223,1.51256,1.44897,0.0152,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,12320.8,1.09667,1.0869,0.00962,0.56264,0.50495,0.51165,0.32148,1.50291,1.4515,0.01482,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,12655.2,1.10086,1.07518,0.00967,0.62449,0.47027,0.49925,0.31684,1.50919,1.4711,0.01517,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,12990.8,1.09308,1.05608,0.00955,0.70837,0.45977,0.52044,0.32942,1.49887,1.46669,0.01475,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,13326.6,1.09853,1.06525,0.00941,0.66465,0.47362,0.51643,0.32404,1.49324,1.45453,0.01475,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,13661.5,1.08299,1.04605,0.00948,0.64668,0.48593,0.52932,0.33699,1.47811,1.44649,0.01442,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,13996.6,1.09684,1.05198,0.00943,0.62328,0.49455,0.52942,0.34233,1.49399,1.43146,0.0148,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,14333.4,1.07951,1.03344,0.00933,0.63396,0.52348,0.54,0.34942,1.48258,1.42838,0.01479,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,14669.7,1.07798,1.03114,0.0092,0.69211,0.47126,0.53019,0.3377,1.48803,1.40606,0.01472,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,15004.6,1.06275,1.0136,0.00922,0.6616,0.45344,0.51978,0.32992,1.4679,1.42955,0.01423,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,15340.2,1.07248,1.01927,0.00926,0.69706,0.47209,0.53233,0.33558,1.47114,1.40965,0.01425,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,15675.9,1.06446,1.01364,0.00909,0.63174,0.50301,0.54007,0.33865,1.46042,1.41147,0.01407,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,16012,1.07095,1.01242,0.00913,0.65451,0.50062,0.54029,0.33883,1.4659,1.40643,0.01423,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,16346.3,1.06022,1.00859,0.0091,0.63189,0.50655,0.54578,0.34868,1.4523,1.40262,0.01391,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,16679.8,1.05018,1.00101,0.00902,0.61503,0.49268,0.54796,0.35367,1.46225,1.39865,0.0142,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,17013.1,1.05776,0.99352,0.00895,0.64515,0.48446,0.53671,0.34399,1.45768,1.41042,0.01406,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,17347,1.05148,0.99033,0.00905,0.64152,0.50644,0.5485,0.34938,1.45117,1.3928,0.01401,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,17682,1.05269,0.98425,0.00893,0.70296,0.478,0.55329,0.34886,1.44805,1.39819,0.01413,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
