epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,202.364,3.73069,6.61956,0.04338,0.00051,0.02846,0.00033,9e-05,3.5277,6.40747,0.05483,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268,0.00996805,0.00332268
2,326.32,3.38457,5.47473,0.03863,0.5895,0.00215,0.00141,0.00034,2.99557,3.63675,0.04224,0.0199285,0.00664284,0.0199285,0.00664284,0.0199285,0.00664284,0.0199285,0.00664284
3,439.139,2.75611,4.04023,0.02855,0.67753,0.01065,0.00673,0.00179,2.56152,3.77581,0.03534,0.0298494,0.00994979,0.0298494,0.00994979,0.0298494,0.00994979,0.0298494,0.00994979
4,548.862,2.50801,3.57793,0.02445,0.8725,0.03096,0.02452,0.00739,2.47813,3.49057,0.03213,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,656.915,2.33522,3.35483,0.02199,0.70865,0.0344,0.04093,0.01498,2.3665,3.16936,0.03051,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,766.972,2.27546,3.19149,0.02078,0.6669,0.05731,0.04613,0.01902,2.31147,3.00216,0.02778,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,876.554,2.20046,3.07169,0.0198,0.38652,0.0821,0.05496,0.02308,2.19547,2.95468,0.02702,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,986.354,2.17598,2.96967,0.01911,0.28059,0.10896,0.0683,0.02785,2.20468,2.7494,0.02653,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1096.2,2.14572,2.88626,0.01892,0.31152,0.09466,0.08045,0.03438,2.1716,2.77869,0.02567,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1206.24,2.10263,2.82439,0.01817,0.3711,0.13534,0.09095,0.0397,2.15828,2.64936,0.02514,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1282.93,2.0827,2.74896,0.01785,0.49713,0.13321,0.10693,0.04462,2.16737,2.53309,0.02533,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,1357.51,2.06599,2.71256,0.01813,0.31764,0.13095,0.10468,0.04372,2.07652,2.49715,0.02453,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,1431.7,2.04085,2.63706,0.0177,0.35215,0.15719,0.12491,0.05624,2.06316,2.5006,0.02449,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,1505.43,2.03788,2.59886,0.01747,0.33216,0.16042,0.14069,0.063,2.03364,2.38719,0.02387,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,1579.76,2.01872,2.56134,0.01737,0.36623,0.1577,0.14807,0.07036,2.00875,2.34796,0.02305,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,1654.17,2.00332,2.50731,0.01699,0.3605,0.19955,0.15839,0.07345,2.0025,2.34367,0.02279,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,1728.56,1.99611,2.49315,0.01672,0.33714,0.17074,0.15694,0.06819,2.01448,2.30288,0.02325,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,1802.75,1.98498,2.44274,0.01668,0.32298,0.20834,0.16981,0.07689,2.00866,2.28966,0.02253,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,1877.19,1.97673,2.41255,0.01616,0.34112,0.21497,0.18342,0.08651,1.96227,2.20234,0.0223,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,1951.12,1.94026,2.36852,0.01635,0.39664,0.25096,0.21964,0.10594,1.95783,2.14976,0.02215,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,2025.51,1.93883,2.36064,0.01614,0.33855,0.26712,0.21777,0.10634,1.92748,2.14192,0.02162,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,2099.96,1.92784,2.34431,0.01613,0.27617,0.23817,0.20081,0.09427,1.93296,2.14474,0.02173,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,2174.01,1.90562,2.30348,0.01569,0.24656,0.27585,0.2105,0.10307,1.89687,2.12324,0.02098,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,2247.83,1.90587,2.29935,0.01598,0.32614,0.26267,0.21836,0.10576,1.90383,2.0889,0.02139,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,2322.28,1.89217,2.23881,0.0156,0.29568,0.28588,0.22435,0.11259,1.92934,2.08944,0.02133,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,2396.22,1.89248,2.27791,0.01553,0.344,0.26582,0.22442,0.11362,1.90952,2.05536,0.02142,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,2470.24,1.87327,2.23315,0.01549,0.36932,0.26812,0.22209,0.11465,1.87388,2.07383,0.02064,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,2544.75,1.8848,2.21815,0.01519,0.35261,0.29244,0.25519,0.12885,1.88014,2.00166,0.02066,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,2619.08,1.87966,2.1913,0.01507,0.41822,0.28832,0.25932,0.12942,1.8671,1.96241,0.02077,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,2693.11,1.86317,2.16339,0.01516,0.30192,0.28804,0.24807,0.12165,1.85907,1.9791,0.02052,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,2767.28,1.85035,2.16688,0.01495,0.36424,0.27849,0.26596,0.13798,1.85635,1.95252,0.02054,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,2841.32,1.8442,2.1398,0.01511,0.33698,0.31547,0.2697,0.14257,1.86425,1.98141,0.02054,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
