epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,81.1468,4.02873,8.11947,0.04105,0,0,0,0,4.10445,4.38298,0.04361,0.00989362,0.00329787,0.00989362,0.00329787,0.00989362,0.00329787,0.00989362,0.00329787
2,118.426,3.92834,7.65235,0.04003,0.0004,0.02472,0.00022,5e-05,4.01013,5.85143,0.04488,0.0198542,0.00661808,0.0198542,0.00661808,0.0198542,0.00661808,0.0198542,0.00661808
3,152.694,3.6577,6.5703,0.03455,0.00115,0.03857,0.00068,0.00019,3.46511,4.93136,0.04549,0.0297752,0.00992508,0.0297752,0.00992508,0.0297752,0.00992508,0.0297752,0.00992508
4,185.81,3.24487,5.27463,0.03047,0.00254,0.10897,0.00393,0.00125,3.3172,4.45474,0.03887,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,218.979,2.97098,4.47803,0.0262,0.4143,0.02192,0.01355,0.00392,3.0208,4.28086,0.02938,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,252.021,2.8636,4.08048,0.02292,0.28489,0.04512,0.02664,0.00821,2.91511,3.97671,0.02609,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,285.552,2.68654,3.87294,0.02175,0.28894,0.02776,0.01588,0.00499,2.97488,4.16183,0.02727,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,318.494,2.62824,3.65738,0.02012,0.18586,0.06232,0.03606,0.01252,2.92298,3.83575,0.02728,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,351.785,2.55606,3.47439,0.01877,0.12291,0.08439,0.05461,0.02184,2.75209,3.62469,0.0236,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,384.723,2.45,3.2774,0.01873,0.15643,0.06797,0.05185,0.01832,2.81174,3.66823,0.02553,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,418.087,2.36962,3.16681,0.01723,0.28774,0.11737,0.07127,0.02776,2.68206,3.6018,0.02279,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,451.44,2.32292,3.07268,0.01722,0.21438,0.13559,0.0972,0.04079,2.56854,3.168,0.02109,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,484.852,2.33125,2.92665,0.01574,0.18068,0.17405,0.1186,0.04862,2.47028,3.12815,0.02027,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,517.825,2.28057,2.81764,0.01494,0.3481,0.20112,0.1509,0.07346,2.39736,2.94312,0.01872,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,551.362,2.23357,2.71125,0.01493,0.25376,0.18422,0.14554,0.06094,2.48968,2.98926,0.02013,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,584.311,2.1599,2.68281,0.01464,0.26626,0.16633,0.13628,0.06381,2.36834,3.04046,0.01847,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,617.555,2.18184,2.60823,0.01392,0.27516,0.21164,0.17355,0.08525,2.32414,2.85282,0.01787,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,650.591,2.1071,2.51537,0.01363,0.38408,0.21559,0.19927,0.09935,2.31303,2.59387,0.01696,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,684.144,2.15281,2.47592,0.01311,0.32231,0.21854,0.19213,0.09946,2.22459,2.61964,0.01599,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,717.239,2.03265,2.37848,0.01374,0.32296,0.2018,0.18204,0.08542,2.36132,2.8308,0.018,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,750.676,2.02876,2.34614,0.01288,0.3305,0.23962,0.22349,0.11779,2.19831,2.59874,0.0153,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,783.891,2.02389,2.34208,0.01259,0.39233,0.22928,0.20827,0.10879,2.22204,2.6939,0.01597,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,817.302,1.98784,2.26272,0.013,0.31524,0.23995,0.21547,0.1164,2.1765,2.57194,0.01537,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,850.261,2.01222,2.25071,0.01242,0.29432,0.29858,0.24297,0.12496,2.1563,2.44142,0.01536,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,883.834,1.94491,2.18078,0.01238,0.33432,0.26001,0.22466,0.11995,2.15312,2.43631,0.01491,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,916.922,1.94048,2.16972,0.01213,0.40237,0.28726,0.26543,0.1455,2.11795,2.39287,0.01467,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,950.393,1.93454,2.09202,0.01176,0.38397,0.2474,0.23107,0.12085,2.16374,2.4622,0.01493,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,983.525,1.89142,2.0546,0.01137,0.36715,0.30027,0.28168,0.16485,2.09303,2.28029,0.01409,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,1017.04,1.86489,2.00425,0.01121,0.387,0.26421,0.25711,0.14487,2.12226,2.44552,0.01468,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
