epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,341.991,3.38721,7.59428,0.03952,0.00109,0.10377,0.00117,0.00031,3.45511,4.70727,0.04125,0.00998507,0.00332836,0.00998507,0.00332836,0.00998507,0.00332836,0.00998507,0.00332836
2,586.054,2.30077,4.31112,0.02371,0.27238,0.0583,0.03081,0.01254,2.93752,3.96492,0.02772,0.0199455,0.0066485,0.0199455,0.0066485,0.0199455,0.0066485,0.0199455,0.0066485
3,806.014,1.81618,2.55092,0.01701,0.28526,0.12478,0.09911,0.04822,2.63575,3.52657,0.02118,0.0298663,0.00995544,0.0298663,0.00995544,0.0298663,0.00995544,0.0298663,0.00995544
4,1026.1,1.57595,2.04519,0.01382,0.40782,0.16817,0.15841,0.08129,2.40789,3.09081,0.01881,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1292.52,1.42913,1.78385,0.01204,0.38028,0.18116,0.18074,0.09957,2.36024,2.92039,0.01725,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1552.22,1.34038,1.61351,0.01118,0.2982,0.21217,0.19225,0.11487,2.21256,2.74907,0.01609,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1824.19,1.28288,1.50767,0.01035,0.39331,0.24414,0.23681,0.14275,2.15721,2.62788,0.01507,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2097.59,1.21573,1.39298,0.00961,0.43897,0.23327,0.23057,0.13827,2.15146,2.63303,0.01527,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2371.66,1.17757,1.32386,0.00934,0.40065,0.27873,0.27975,0.16059,2.0964,2.48242,0.01448,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2645.08,1.14897,1.27531,0.00912,0.45413,0.28214,0.29235,0.17888,2.04839,2.36326,0.01346,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
