epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,134.335,3.77781,8.26961,0.04492,0.00039,0.00195,0.00021,6e-05,3.90368,13.1843,0.04652,0.00996479,0.0033216,0.00996479,0.0033216,0.00996479,0.0033216,0.00996479,0.0033216
2,222.67,3.5339,7.24664,0.04121,0.00212,0.12388,0.00157,0.00038,3.43236,5.23827,0.0396,0.0199253,0.00664175,0.0199253,0.00664175,0.0199253,0.00664175,0.0199253,0.00664175
3,302.596,3.01429,5.3279,0.03291,0.85751,0.01385,0.00855,0.00233,3.18043,4.27999,0.0335,0.0298461,0.00994871,0.0298461,0.00994871,0.0298461,0.00994871,0.0298461,0.00994871
4,380.475,2.67244,3.9606,0.02684,0.69371,0.04836,0.03739,0.01424,2.90188,4.0296,0.02663,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,458.537,2.46876,3.48133,0.02366,0.51461,0.07083,0.04108,0.01471,2.81929,3.73368,0.02571,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,536.153,2.33639,3.11763,0.02083,0.4073,0.09413,0.06932,0.02552,2.7585,3.47462,0.02342,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,614.732,2.19925,2.87968,0.01876,0.34792,0.11272,0.078,0.03308,2.70603,3.35159,0.02246,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,692.408,2.11942,2.67104,0.01795,0.14341,0.12723,0.08334,0.03647,2.6747,3.29547,0.022,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,770.338,2.05362,2.64491,0.01779,0.32316,0.13839,0.0944,0.03863,2.50832,3.25503,0.02056,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,848.066,1.98653,2.48361,0.01671,0.2542,0.12454,0.10182,0.04637,2.47311,3.31034,0.01942,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,926.345,1.93019,2.37528,0.01542,0.30547,0.18234,0.15582,0.07786,2.41021,2.86465,0.01825,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,1004.33,1.88424,2.31906,0.01508,0.2721,0.17982,0.13233,0.06268,2.36771,2.92615,0.01809,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,1082.53,1.84171,2.23903,0.01444,0.32615,0.19967,0.18328,0.10176,2.29507,2.72509,0.01618,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,1160.46,1.81353,2.19598,0.01413,0.29458,0.22685,0.19241,0.10059,2.28319,2.667,0.01586,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,1238.79,1.78774,2.12368,0.01363,0.30706,0.23406,0.17642,0.08892,2.27404,2.74088,0.0165,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,1316.47,1.72804,2.03258,0.01345,0.32726,0.22283,0.19811,0.103,2.199,2.64212,0.01555,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,1394.33,1.70815,2.00848,0.01283,0.34578,0.22996,0.21417,0.12501,2.17291,2.50148,0.0148,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,1471.89,1.71342,1.97953,0.0127,0.36071,0.23946,0.21757,0.11917,2.18736,2.50316,0.01477,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,1550.04,1.71799,1.93913,0.01285,0.34243,0.25523,0.22261,0.11805,2.21329,2.55581,0.0157,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,1627.75,1.65841,1.87845,0.01214,0.3564,0.22998,0.19724,0.11018,2.17917,2.83776,0.01527,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,1706.05,1.68544,1.89647,0.01205,0.39345,0.23822,0.2307,0.12998,2.15663,2.57577,0.01507,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,1784.22,1.64913,1.81662,0.01155,0.35504,0.24516,0.22569,0.12713,2.14222,2.58195,0.01497,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,1862.19,1.60091,1.77449,0.01187,0.36975,0.2729,0.26681,0.15225,2.10703,2.45676,0.01399,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,1939.76,1.58284,1.75157,0.01162,0.48047,0.23504,0.25489,0.14922,2.06149,2.44275,0.01333,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,2017.74,1.58974,1.76697,0.01112,0.39213,0.27339,0.26164,0.15383,2.04513,2.35001,0.01335,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,2095.57,1.58158,1.7614,0.01102,0.38057,0.29024,0.27519,0.16113,2.08373,2.35945,0.01359,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,2173.75,1.5787,1.69814,0.01092,0.33851,0.28432,0.25433,0.14833,2.04009,2.36641,0.01295,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,2251.09,1.54625,1.64261,0.0111,0.36988,0.29012,0.28696,0.17446,2.03982,2.28709,0.01326,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,2329.3,1.53705,1.63555,0.01073,0.44611,0.29965,0.30645,0.18664,2.06636,2.29953,0.01346,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,2407.05,1.51146,1.60729,0.01083,0.41638,0.31734,0.31553,0.18968,1.99441,2.23485,0.01266,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,2485.06,1.52291,1.55586,0.01036,0.34933,0.31654,0.29604,0.1789,2.04626,2.25867,0.01306,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,2563.06,1.53058,1.55701,0.01036,0.42243,0.30323,0.30366,0.18335,2.02792,2.35101,0.0122,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,2641.34,1.4784,1.53452,0.01037,0.41329,0.33544,0.31829,0.18814,1.99901,2.17779,0.01236,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,2718.75,1.47993,1.48679,0.00981,0.42896,0.33366,0.33433,0.20955,1.93302,2.18267,0.01191,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,2796.59,1.50328,1.50871,0.00985,0.41611,0.34159,0.32846,0.19472,1.98365,2.23982,0.01283,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,2874.87,1.45614,1.45802,0.00996,0.42076,0.32418,0.32024,0.19317,2.01447,2.25069,0.01292,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,2953.04,1.45717,1.44076,0.01002,0.45664,0.33768,0.35069,0.21778,2.00805,2.19105,0.01249,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,3031.21,1.45581,1.43533,0.0097,0.45786,0.36268,0.34737,0.2093,1.94917,2.11022,0.01213,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,3109.19,1.43982,1.4135,0.0096,0.45439,0.3571,0.36107,0.22579,1.97432,2.03584,0.01201,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,3186.91,1.47025,1.41123,0.00954,0.47644,0.34622,0.3422,0.21039,1.93355,2.15345,0.01197,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,3265,1.4244,1.37501,0.00954,0.47302,0.34683,0.35461,0.21802,1.9385,2.20028,0.01201,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,3342.6,1.40237,1.3681,0.00931,0.50152,0.32826,0.3495,0.21481,1.96702,2.14108,0.01193,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,3420.87,1.4536,1.37602,0.00916,0.43304,0.36482,0.34685,0.21468,1.92204,2.12876,0.01185,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,3498.91,1.38543,1.31989,0.00942,0.48609,0.36494,0.37845,0.23743,1.89299,2.12265,0.01139,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,3577.16,1.38798,1.32032,0.00888,0.53628,0.36694,0.39796,0.25212,1.91418,1.99543,0.01117,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,3655.15,1.39606,1.29016,0.00897,0.48461,0.37113,0.39074,0.24246,1.90258,2.11115,0.01168,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,3732.97,1.39054,1.26959,0.00897,0.57168,0.3451,0.386,0.24952,1.92458,2.10504,0.01152,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,3811.03,1.344,1.25299,0.00887,0.52389,0.34314,0.37913,0.23307,1.93066,2.09305,0.01151,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,3889.46,1.35207,1.26171,0.00902,0.51105,0.36787,0.39151,0.24741,1.91843,2.02974,0.01175,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,3966.95,1.37031,1.23533,0.00891,0.528,0.3732,0.39893,0.24777,1.93048,2.0623,0.01144,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,4044.87,1.36215,1.24238,0.00866,0.55156,0.36972,0.39673,0.24846,1.90569,2.00369,0.01152,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,4122.52,1.37745,1.23014,0.00854,0.50678,0.37822,0.401,0.25255,1.87817,2.10572,0.01128,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,4200.86,1.37382,1.20851,0.0089,0.54401,0.39112,0.4119,0.24867,1.92148,1.95856,0.01129,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,4278.65,1.33043,1.19901,0.00856,0.49054,0.39195,0.40514,0.26188,1.90471,1.96023,0.01097,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
