epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,100.752,4.05234,8.58338,0.05491,0.00072,0.01112,0.00037,0.0001,4.10511,4.39515,0.04367,0.00992958,0.00330986,0.00992958,0.00330986,0.00992958,0.00330986,0.00992958,0.00330986
2,154.88,3.76904,7.26033,0.04762,0.00124,0.09487,0.00111,0.00029,3.66999,4.70362,0.04131,0.0198901,0.00663004,0.0198901,0.00663004,0.0198901,0.00663004,0.0198901,0.00663004
3,203.982,3.10942,5.35123,0.03801,0.00494,0.05045,0.0033,0.00085,3.30743,4.97776,0.03791,0.0298111,0.00993702,0.0298111,0.00993702,0.0298111,0.00993702,0.0298111,0.00993702
4,251.193,2.66407,4.04158,0.02853,0.72087,0.01959,0.01407,0.00395,3.07368,4.23408,0.02912,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,298.501,2.43835,3.45802,0.02489,0.2993,0.0565,0.04058,0.0147,2.80543,3.68386,0.02473,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,345.815,2.29444,3.13715,0.02187,0.40739,0.08745,0.06712,0.02848,2.72366,3.58633,0.02245,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,393.103,2.21017,2.87546,0.01994,0.6775,0.06236,0.06849,0.02793,2.72502,3.42801,0.02344,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,439.996,2.03517,2.62578,0.01907,0.24107,0.12369,0.08306,0.03519,2.61493,3.33487,0.02124,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,487.225,2.01671,2.5274,0.01837,0.216,0.12999,0.09068,0.04547,2.63841,3.45058,0.02135,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,534.324,1.93039,2.41852,0.01747,0.28274,0.14216,0.12242,0.05989,2.50725,2.9879,0.01996,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,582.04,1.93612,2.3508,0.01668,0.22086,0.15084,0.12261,0.06184,2.4763,3.09259,0.01883,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,629.108,1.84301,2.22348,0.0165,0.3082,0.19562,0.16879,0.0866,2.32474,2.73898,0.01659,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
