epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,216.192,3.56293,6.82864,0.03524,0.00035,0.02471,0.0002,5e-05,3.92301,14.2459,0.04476,0.0099537,0.0033179,0.0099537,0.0033179,0.0099537,0.0033179,0.0099537,0.0033179
2,367.866,3.19916,5.98131,0.03097,0.00445,0.14305,0.00439,0.00119,3.27218,4.39641,0.03499,0.0199142,0.00663807,0.0199142,0.00663807,0.0199142,0.00663807,0.0199142,0.00663807
3,505.183,2.54704,4.23498,0.02239,0.33247,0.02099,0.01438,0.00467,3.05165,4.06291,0.0293,0.0298351,0.00994503,0.0298351,0.00994503,0.0298351,0.00994503,0.0298351,0.00994503
4,658.251,2.22716,3.24019,0.01778,0.20532,0.05899,0.04378,0.01754,2.79863,3.77872,0.02608,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,775.417,2.05329,2.76725,0.01548,0.33366,0.13053,0.08522,0.0363,2.63018,3.42848,0.02168,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,893.299,1.90369,2.4956,0.01411,0.4289,0.10416,0.1034,0.04947,2.45659,3.28694,0.01986,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1010.85,1.81065,2.31307,0.01306,0.2516,0.14724,0.11589,0.05625,2.45704,3.1691,0.02009,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1128.63,1.72233,2.15377,0.01232,0.2897,0.20873,0.17959,0.09112,2.28272,2.76231,0.01742,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1246.24,1.66279,2.05966,0.01151,0.3078,0.20102,0.18497,0.10047,2.25772,2.94725,0.01721,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1364.28,1.58615,1.95127,0.01109,0.3258,0.26061,0.22269,0.12177,2.28243,2.55606,0.01756,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1482.05,1.60402,1.88881,0.01042,0.29818,0.23151,0.19456,0.10637,2.2549,2.75451,0.0164,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,1599.53,1.54184,1.78667,0.01008,0.36693,0.2519,0.22268,0.13016,2.18197,2.67864,0.01555,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,1717.4,1.51887,1.74817,0.00986,0.42929,0.2805,0.27037,0.1577,2.10921,2.45173,0.01509,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,1835.45,1.5074,1.69986,0.00969,0.40906,0.2672,0.2661,0.1459,2.12828,2.55546,0.01478,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,1952.9,1.44879,1.64101,0.00947,0.40799,0.26974,0.25679,0.1467,2.09606,2.49692,0.01435,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
