epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,92.2088,3.9897,8.38617,0.04095,0,0,0,0,4.10958,4.37499,0.0442,0.00989362,0.00329787,0.00989362,0.00329787,0.00989362,0.00329787,0.00989362,0.00329787
2,122.452,3.92274,7.6207,0.03959,0.00074,0.04627,0.00055,0.00012,3.84247,4.66708,0.04292,0.0198542,0.00661808,0.0198542,0.00661808,0.0198542,0.00661808,0.0198542,0.00661808
3,150.443,3.63131,6.67469,0.03395,0.00044,0.00465,0.00034,5e-05,nan,nan,nan,0.0297752,0.00992508,0.0297752,0.00992508,0.0297752,0.00992508,0.0297752,0.00992508
4,177.462,3.29409,5.5473,0.03108,0.69289,0.00772,0.00015,3e-05,3.49502,9.32011,0.04313,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,205.293,3.13481,4.8102,0.02862,0.0017,0.14479,0.00209,0.00053,3.21619,4.33092,0.03217,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,232.398,2.97348,4.42101,0.02487,0.40354,0.01337,0.01091,0.00303,3.03647,4.12513,0.02874,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,260.641,2.85883,4.26451,0.02387,0.222,0.02243,0.01507,0.0049,3.0214,4.08327,0.02785,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,287.362,2.76101,4.02609,0.02178,0.26793,0.03801,0.02033,0.00665,2.89182,4.00104,0.02707,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,315.337,2.69017,3.87713,0.02129,0.5167,0.0399,0.03638,0.01447,2.8233,3.71766,0.02351,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,342.266,2.61382,3.72296,0.02098,0.22813,0.06685,0.0379,0.01361,2.82755,3.69804,0.0243,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,369.702,2.61356,3.56397,0.01883,0.16772,0.08095,0.06192,0.02402,2.72935,3.43058,0.02234,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,397.33,2.59374,3.44825,0.01859,0.11063,0.1401,0.07378,0.03119,2.65769,4.13937,0.02117,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,424.428,2.4914,3.34699,0.01836,0.20985,0.1304,0.07907,0.03153,2.63193,3.20016,0.02148,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,452.829,2.48611,3.23901,0.01754,0.29483,0.09482,0.08117,0.0359,2.67395,3.51474,0.02136,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,480.435,2.43269,3.19973,0.01763,0.16525,0.13651,0.0944,0.04072,2.62239,3.25738,0.02097,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,507.905,2.39153,3.12279,0.01716,0.17393,0.16406,0.10115,0.04835,2.53644,3.20043,0.02003,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,535.203,2.39069,3.03374,0.01613,0.16882,0.1383,0.10001,0.0445,2.51386,3.13119,0.01994,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,562.552,2.30192,3.01294,0.01706,0.19369,0.16443,0.10559,0.04651,2.52052,3.42129,0.01912,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,589.796,2.34045,2.95945,0.01599,0.20822,0.16001,0.11635,0.05088,2.50907,3.11418,0.01987,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,617.436,2.29317,2.90559,0.01595,0.23645,0.16843,0.14056,0.06896,2.43884,2.91333,0.018,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,645.037,2.26343,2.86775,0.01506,0.25112,0.16695,0.13604,0.07067,2.42077,3.04273,0.01827,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,672.83,2.26041,2.79593,0.01483,0.26546,0.18509,0.14726,0.07668,2.398,2.92074,0.01749,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,701.103,2.21792,2.7713,0.01522,0.30387,0.19195,0.15609,0.08046,2.37864,2.89667,0.01769,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,728.308,2.22804,2.75698,0.0145,0.26946,0.21004,0.15317,0.07998,2.35132,2.90122,0.01713,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,756.067,2.21023,2.69678,0.01431,0.25936,0.22563,0.16644,0.08688,2.36997,2.75897,0.01745,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,783.453,2.17609,2.70682,0.01457,0.35429,0.19029,0.16683,0.08797,2.36936,2.80248,0.01742,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,811.003,2.19095,2.65965,0.01371,0.2653,0.2061,0.16536,0.08339,2.39055,2.94452,0.01811,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,838.341,2.16196,2.60862,0.01388,0.31582,0.21222,0.19027,0.09597,2.38087,2.78127,0.01775,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,866.059,2.14705,2.57229,0.0142,0.27185,0.19507,0.16512,0.08291,2.32733,2.84156,0.01717,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,892.78,2.19088,2.59797,0.01352,0.31232,0.20116,0.19156,0.10035,2.31722,2.70057,0.01591,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,920.471,2.11285,2.50528,0.01302,0.26384,0.23682,0.1861,0.10092,2.31704,2.70883,0.01642,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,947.646,2.12818,2.53245,0.01344,0.31228,0.237,0.2044,0.10687,2.31501,2.69515,0.01651,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,975.506,2.09987,2.49544,0.01319,0.41142,0.21425,0.20338,0.10564,2.30119,2.66732,0.01653,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,1002.61,2.0975,2.48341,0.01331,0.31495,0.23294,0.2079,0.11403,2.26422,2.60797,0.01645,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,1030.38,2.10938,2.45031,0.01322,0.31238,0.23629,0.20829,0.11387,2.30625,2.77721,0.01624,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,1057.13,2.06193,2.40319,0.01291,0.35517,0.23772,0.21963,0.12555,2.22566,2.58139,0.01508,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,1084.64,2.08362,2.36384,0.01238,0.40686,0.22885,0.22995,0.12834,2.25893,2.70481,0.01597,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,1112.27,2.05074,2.35798,0.01219,0.37306,0.24144,0.23075,0.12572,2.28018,2.55197,0.01573,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,1139.49,2.02319,2.33062,0.01231,0.33377,0.23055,0.20264,0.11721,2.24958,2.67161,0.01533,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,1166.64,2.01594,2.32462,0.01235,0.40678,0.23192,0.23203,0.12738,2.23196,2.56545,0.01556,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,1193.9,2.01447,2.26849,0.01226,0.36865,0.24236,0.21488,0.12505,2.23735,2.72264,0.01537,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,1221.39,2.01256,2.30916,0.01226,0.31711,0.23905,0.2234,0.12239,2.25896,2.52638,0.01591,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,1248.86,2.04684,2.25338,0.01214,0.40614,0.27291,0.2622,0.14672,2.23581,2.50087,0.01489,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,1276.45,2.00163,2.28721,0.01222,0.426,0.26475,0.25713,0.14977,2.1747,2.47809,0.01499,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,1303.83,1.99317,2.18818,0.01202,0.44143,0.25777,0.26683,0.15397,2.18377,2.4655,0.0146,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,1331.52,1.95682,2.2026,0.01198,0.37332,0.2611,0.2634,0.14299,2.18966,2.49106,0.01495,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,1358.76,2.00526,2.20895,0.01153,0.30273,0.24542,0.22025,0.12507,2.21227,2.58396,0.01491,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,1386.43,1.97276,2.16513,0.01189,0.39544,0.27991,0.26445,0.15036,2.15191,2.40311,0.01435,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,1413.76,1.95497,2.14096,0.01194,0.37007,0.28715,0.27803,0.16125,2.14944,2.43481,0.01437,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,1440.85,1.95545,2.14388,0.01154,0.40581,0.27822,0.27156,0.15404,2.14622,2.44667,0.0143,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,1468.91,1.95435,2.1108,0.0111,0.37966,0.29518,0.25541,0.14576,2.13607,2.45859,0.01418,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,1495.76,1.92956,2.11597,0.01122,0.40377,0.28369,0.27741,0.15913,2.18829,2.44413,0.0144,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,1523.3,1.94814,2.12373,0.01099,0.43034,0.28599,0.28445,0.16491,2.13078,2.44817,0.01396,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,1550.55,1.93416,2.04081,0.01068,0.44432,0.28309,0.28337,0.16938,2.11484,2.53627,0.01394,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,1578.15,1.94752,2.10827,0.01124,0.37342,0.30223,0.27453,0.16131,2.12455,2.39787,0.01378,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,1604.93,1.89241,2.03932,0.01126,0.40802,0.27235,0.28014,0.16535,2.11182,2.39333,0.01378,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,1632.85,1.94024,2.02091,0.01068,0.43956,0.29416,0.29561,0.17903,2.13945,2.40005,0.01397,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,1660.05,1.93933,2.04956,0.01096,0.4361,0.31849,0.31275,0.18502,2.08055,2.33615,0.01342,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,1688.03,1.8767,1.98825,0.01128,0.45768,0.28727,0.29112,0.16818,2.11269,2.45236,0.01377,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,1715.34,1.87662,2.02387,0.01101,0.41957,0.294,0.3046,0.17959,2.12843,2.37448,0.01388,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,1742.87,1.91581,2.00401,0.01067,0.39872,0.30292,0.30001,0.17913,2.09833,2.30056,0.01367,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
