epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.195,4.0131,8.31751,0.04049,2e-05,0.00607,1e-05,0,4.10962,4.37085,0.04365,0.00989362,0.00329787,0.00989362,0.00329787,0.00989362,0.00329787,0.00989362,0.00329787
2,176.925,3.95132,7.66061,0.03957,0.00418,0.00057,0.00032,5e-05,nan,nan,nan,0.0198542,0.00661808,0.0198542,0.00661808,0.0198542,0.00661808,0.0198542,0.00661808
3,238.974,3.8624,7.04247,0.03697,0.0012,0.02085,0.00064,0.00017,nan,nan,nan,0.0297752,0.00992508,0.0297752,0.00992508,0.0297752,0.00992508,0.0297752,0.00992508
4,298.481,3.49064,5.89208,0.03336,0.00117,0.03414,0.00095,0.00034,nan,nan,nan,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,358.386,3.15918,4.70036,0.02939,0.00282,0.13563,0.00521,0.00131,3.211,4.4483,0.03349,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,418.765,2.92561,4.22368,0.02512,0.16406,0.03011,0.00677,0.00196,3.09266,4.31156,0.03013,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,478.42,2.79147,3.96581,0.02368,0.37965,0.05523,0.03322,0.01095,2.89991,3.7827,0.02652,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,537.565,2.69963,3.74013,0.02129,0.42723,0.06158,0.02912,0.00891,3.00477,3.80433,0.02858,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,597.462,2.5818,3.58499,0.02007,0.19066,0.09453,0.06406,0.02331,2.69268,3.5318,0.02359,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,656.021,2.47106,3.36772,0.01934,0.1611,0.09813,0.06343,0.02275,2.69909,3.51526,0.02332,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,716.414,2.43151,3.17693,0.01702,0.19544,0.07482,0.04546,0.01453,2.93095,4.10477,0.02584,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,775.665,2.37941,3.06291,0.01658,0.22061,0.17516,0.11237,0.04531,2.4681,3.17933,0.01982,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,835.566,2.27684,2.93653,0.01614,0.19005,0.12792,0.09315,0.03858,2.58856,3.37856,0.02109,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,894.468,2.25893,2.82682,0.01523,0.24247,0.15111,0.1258,0.06151,2.4335,3.22351,0.0194,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,954.56,2.17987,2.74969,0.01512,0.20098,0.15088,0.10379,0.04597,2.41611,3.16413,0.01878,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,1013.47,2.15196,2.6617,0.01446,0.29882,0.18525,0.14076,0.06887,2.34076,2.96923,0.01775,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,1073.12,2.13327,2.57267,0.01375,0.29641,0.19406,0.17194,0.08317,2.3108,2.91431,0.01744,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,1132.79,2.05749,2.53032,0.01441,0.27433,0.205,0.17199,0.08384,2.23097,2.76213,0.01717,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,1192.82,2.08053,2.44904,0.01331,0.27693,0.23689,0.19039,0.10118,2.21229,2.77177,0.01539,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,1252.39,2.02675,2.38538,0.01314,0.37078,0.20457,0.20855,0.11038,2.20171,2.60285,0.01559,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,1312.13,2.00161,2.29386,0.0124,0.3615,0.22361,0.19794,0.1019,2.21569,2.65168,0.01539,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,1371.27,1.98457,2.24601,0.01201,0.43206,0.24229,0.2398,0.13307,2.16518,2.59395,0.0146,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,1431.58,1.94764,2.21658,0.01232,0.34011,0.24613,0.23584,0.1251,2.17786,2.52904,0.0154,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,1490.64,1.94713,2.17515,0.01153,0.31856,0.23319,0.19963,0.11005,2.1788,2.7685,0.01576,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,1550.19,1.94771,2.12066,0.01155,0.3893,0.26601,0.24881,0.1329,2.15857,2.55239,0.01502,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,1609.39,1.88194,2.10573,0.01146,0.33649,0.27036,0.23667,0.13344,2.10709,2.51833,0.01413,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,1669.17,1.89867,2.0419,0.01098,0.36968,0.29411,0.26419,0.14475,2.09056,2.46821,0.01412,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,1728.79,1.86003,1.98981,0.01088,0.38754,0.2986,0.28974,0.16318,2.08147,2.35776,0.01426,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,1788.81,1.83193,1.94781,0.01098,0.39963,0.29441,0.27365,0.15578,2.04867,2.37831,0.01291,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,1847.59,1.87609,1.9347,0.01051,0.3783,0.30173,0.28779,0.1707,2.03542,2.2783,0.01306,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,1907.45,1.80473,1.85612,0.01023,0.34331,0.3311,0.29635,0.17275,2.02489,2.30011,0.01299,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,1966.9,1.83418,1.85458,0.01052,0.39022,0.28254,0.27136,0.14445,2.05753,2.35251,0.01414,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,2026.42,1.79109,1.80532,0.01022,0.44453,0.31587,0.30363,0.17881,2.02471,2.29523,0.01265,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,2085.66,1.77544,1.82155,0.01021,0.44766,0.33986,0.32542,0.19056,1.98929,2.17812,0.01245,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,2145.93,1.75909,1.76638,0.00983,0.42804,0.32425,0.29847,0.17253,2.0252,2.24098,0.01311,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,2204.97,1.72506,1.73464,0.00978,0.42163,0.3141,0.31036,0.18024,2.02348,2.25324,0.01355,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,2264.43,1.74893,1.73589,0.00945,0.45039,0.32262,0.31883,0.18676,1.95559,2.17262,0.01232,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,2323.07,1.72326,1.68515,0.00923,0.46938,0.33185,0.3256,0.19113,1.99195,2.26299,0.01292,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,2383.16,1.68787,1.65009,0.0093,0.46757,0.33708,0.34153,0.20285,1.94036,2.16309,0.01183,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,2442.36,1.6817,1.61865,0.00925,0.44382,0.35638,0.34593,0.20361,1.93788,2.19126,0.01211,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,2502.96,1.661,1.55671,0.00901,0.41681,0.37156,0.34357,0.20756,1.92418,2.17297,0.01191,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,2562.32,1.63854,1.58286,0.00898,0.44955,0.36362,0.35555,0.21382,1.9291,2.19341,0.01174,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,2622.28,1.67713,1.56295,0.0089,0.44911,0.35306,0.34503,0.21281,1.93313,2.28287,0.01196,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,2681.47,1.62972,1.52812,0.00892,0.5025,0.34239,0.35617,0.21601,1.91482,2.23361,0.01172,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,2741.27,1.6375,1.48247,0.00869,0.52502,0.3477,0.37118,0.2189,1.95339,2.12184,0.01224,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,2802.27,1.60904,1.48512,0.0088,0.47983,0.34595,0.36392,0.21888,1.95309,2.14581,0.01202,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,2866.82,1.63545,1.48401,0.00841,0.4834,0.35412,0.37131,0.23127,1.91018,2.1493,0.01135,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,2926.18,1.60117,1.44335,0.00852,0.52152,0.36555,0.38387,0.23373,1.9355,2.04494,0.01169,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,2986.26,1.58394,1.4379,0.00858,0.50347,0.38587,0.39772,0.24174,1.89276,1.99829,0.01141,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,3045.81,1.58457,1.42117,0.00818,0.50856,0.36009,0.36793,0.22453,1.91118,2.13023,0.01168,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,3105.26,1.5951,1.36836,0.00805,0.55313,0.36142,0.37502,0.23163,1.89593,2.17616,0.01141,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,3164.48,1.54698,1.37159,0.0081,0.49095,0.38338,0.3879,0.23036,1.92612,2.07986,0.01149,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,3224.07,1.57141,1.34519,0.00792,0.50605,0.35962,0.39448,0.24254,1.90215,2.10468,0.0114,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,3283.23,1.55654,1.30579,0.0077,0.51963,0.37685,0.40031,0.25029,1.87258,1.99105,0.01131,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,3343,1.57208,1.3233,0.00808,0.50518,0.38844,0.39377,0.24354,1.88277,2.02422,0.01116,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,3402.05,1.50971,1.29036,0.00797,0.49502,0.36975,0.3813,0.23914,1.87359,2.0348,0.01107,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,3462.18,1.54175,1.28416,0.00752,0.50584,0.39639,0.39493,0.24147,1.90588,2.05184,0.01104,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,3521.32,1.54382,1.26449,0.00767,0.47737,0.39722,0.38936,0.23583,1.91406,2.04773,0.01155,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
