epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,217.048,3.39307,5.97362,0.03844,0.00203,0.0834,0.00127,0.00031,3.15248,4.32015,0.03953,0.00997041,0.00332347,0.00997041,0.00332347,0.00997041,0.00332347,0.00997041,0.00332347
2,371.081,2.99337,5.04021,0.03312,0.33168,0.04319,0.0377,0.01408,2.3035,3.35729,0.027,0.0199309,0.00664362,0.0199309,0.00664362,0.0199309,0.00664362,0.0199309,0.00664362
3,534.67,2.16188,3.48244,0.02176,0.31633,0.16099,0.10714,0.05041,2.03948,2.89363,0.02303,0.0298517,0.00995058,0.0298517,0.00995058,0.0298517,0.00995058,0.0298517,0.00995058
4,703.081,1.90112,2.8384,0.01829,0.32973,0.23001,0.18452,0.09964,1.81644,2.5834,0.01969,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,871.074,1.75439,2.50077,0.01654,0.415,0.26307,0.2436,0.13267,1.71249,2.33921,0.01847,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1040.52,1.64424,2.2519,0.01506,0.42825,0.34531,0.31336,0.18216,1.57645,1.97436,0.01647,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1209.57,1.59723,2.11459,0.01436,0.48203,0.37319,0.36404,0.21748,1.54006,1.83427,0.01614,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1379.79,1.53359,1.97284,0.01365,0.49142,0.37257,0.37295,0.22543,1.49983,1.82336,0.01554,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1546.3,1.49336,1.90241,0.01326,0.49502,0.41732,0.3949,0.24312,1.46552,1.78716,0.01497,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1715.9,1.4611,1.79802,0.01271,0.55991,0.40778,0.41416,0.25211,1.45691,1.72798,0.01472,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1884.43,1.43367,1.74475,0.01248,0.5341,0.41302,0.41684,0.26447,1.42034,1.63281,0.01436,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,2053.45,1.39499,1.67738,0.01212,0.48375,0.40715,0.44078,0.27882,1.39334,1.60622,0.01411,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,2220.4,1.38226,1.62823,0.01188,0.46275,0.42734,0.43739,0.27789,1.39044,1.61164,0.01393,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,2388.43,1.35305,1.58152,0.0115,0.50521,0.4406,0.45238,0.28571,1.37212,1.58957,0.01382,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,2558.15,1.34283,1.54785,0.01142,0.52997,0.46143,0.49076,0.31273,1.37151,1.4876,0.01367,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,2726.61,1.32661,1.49551,0.01099,0.48958,0.45167,0.46129,0.29748,1.36366,1.55244,0.0137,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,2894.27,1.30015,1.46766,0.01095,0.65148,0.46299,0.51114,0.33231,1.3188,1.4208,0.01305,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,3063.17,1.29242,1.42593,0.0107,0.56122,0.50371,0.5341,0.33593,1.32193,1.42044,0.01302,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,3232.12,1.27773,1.39675,0.01054,0.55631,0.48213,0.52709,0.33627,1.31011,1.37665,0.01285,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,3401.51,1.27431,1.37829,0.01049,0.61192,0.51279,0.54894,0.34907,1.31178,1.33108,0.01284,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,3569.41,1.26455,1.356,0.01031,0.57118,0.50989,0.5495,0.36055,1.298,1.33168,0.01271,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,3739.53,1.23957,1.32078,0.01023,0.60052,0.5237,0.55084,0.35882,1.29946,1.32478,0.01264,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,3907.64,1.23223,1.30667,0.01019,0.63482,0.49251,0.5605,0.36214,1.29112,1.32429,0.01261,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,4075.68,1.23481,1.2969,0.00998,0.5489,0.53302,0.54929,0.36333,1.27603,1.3201,0.01247,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,4243.44,1.21515,1.26363,0.00988,0.54435,0.5433,0.56,0.37108,1.27533,1.28644,0.0125,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,4412.21,1.20299,1.24421,0.00983,0.65101,0.49944,0.57969,0.38743,1.26522,1.30382,0.0124,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,4579.81,1.19482,1.2297,0.00974,0.69433,0.52405,0.6005,0.38179,1.28216,1.29422,0.01248,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,4748.92,1.1985,1.2174,0.00956,0.59062,0.55072,0.57587,0.38252,1.27247,1.27987,0.01227,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,4915.92,1.18728,1.1862,0.00961,0.6893,0.52353,0.57297,0.38022,1.25802,1.26351,0.01228,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,5083.46,1.19022,1.17551,0.00953,0.56286,0.57778,0.58705,0.3861,1.25453,1.2585,0.01217,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
