epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,129.631,3.3104,5.19395,0.03196,0.00214,0.04326,0.0012,0.0003,3.20915,3.98477,0.04013,0.00993007,0.00331002,0.00993007,0.00331002,0.00993007,0.00331002,0.00993007,0.00331002
2,198.88,3.25906,5.03187,0.03116,0.00206,0.0665,0.00131,0.00028,3.05504,4.03551,0.03919,0.0198906,0.0066302,0.0198906,0.0066302,0.0198906,0.0066302,0.0198906,0.0066302
3,263.289,2.92167,4.50736,0.02695,0.2655,0.02087,0.00928,0.00276,2.73197,4.05774,0.03399,0.0298115,0.00993718,0.0298115,0.00993718,0.0298115,0.00993718,0.0298115,0.00993718
4,323,2.44534,3.83321,0.02149,0.41234,0.08456,0.05037,0.02072,2.10551,3.25103,0.02413,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,385.726,2.18128,3.36916,0.01847,0.38581,0.08792,0.07004,0.03054,2.1068,3.16636,0.02424,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,449.625,2.06417,3.05412,0.01675,0.29627,0.17299,0.14132,0.07017,1.8742,2.60491,0.02094,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,511.013,1.97407,2.83179,0.01577,0.47118,0.21322,0.17694,0.08566,1.82593,2.51674,0.02021,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,574.438,1.9254,2.71457,0.01519,0.3518,0.2528,0.21927,0.11445,1.76039,2.30939,0.01906,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,637.076,1.86703,2.59695,0.01483,0.44422,0.2653,0.23736,0.12547,1.70754,2.20173,0.01833,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,698.797,1.84681,2.49591,0.01455,0.45061,0.29498,0.25399,0.1342,1.71107,2.17781,0.0181,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,761.215,1.82097,2.40675,0.01402,0.43303,0.32284,0.27893,0.15621,1.64012,2.10261,0.01739,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,823.971,1.79265,2.33841,0.01407,0.42235,0.32418,0.29417,0.16299,1.6622,2.02619,0.01758,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,885.193,1.76844,2.27886,0.01366,0.4166,0.33609,0.30053,0.17082,1.63447,1.98386,0.01721,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,947.532,1.75979,2.21492,0.01334,0.45253,0.34128,0.31928,0.18164,1.62113,1.92458,0.0169,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,1010.26,1.72899,2.17232,0.01338,0.47518,0.35735,0.32477,0.18901,1.59197,1.91312,0.01666,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,1073.85,1.71364,2.11839,0.01292,0.48214,0.35376,0.35111,0.2016,1.5553,1.83221,0.01615,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,1137.76,1.70438,2.06367,0.01291,0.46461,0.35068,0.33703,0.1946,1.55986,1.82241,0.01626,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,1199.36,1.68117,2.03843,0.01272,0.46705,0.34617,0.33694,0.19883,1.5618,1.84156,0.01626,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
