epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,236.409,1.45469,1.79694,0.00438,0.63334,0.49059,0.56111,0.34543,1.29518,1.00886,0.00719,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444
2,441.885,1.34863,1.03286,0.00392,0.65617,0.62025,0.65915,0.41048,1.25848,0.90205,0.00702,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446
3,642.032,1.36913,1.01786,0.00411,0.6424,0.55542,0.60146,0.37264,1.29668,0.97913,0.00749,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155
4,819.457,1.38181,1.0115,0.00412,0.67835,0.56008,0.6282,0.38312,1.26844,0.94734,0.00734,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1014.95,1.34458,0.94138,0.00397,0.68073,0.59716,0.65133,0.41161,1.2363,0.86055,0.007,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1216.15,1.31286,0.8919,0.00382,0.69809,0.68833,0.71037,0.45547,1.2146,0.81914,0.00708,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1401.03,1.2735,0.84447,0.00374,0.68635,0.66122,0.70962,0.46385,1.15852,0.76853,0.00661,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1602.45,1.25647,0.80988,0.00362,0.77813,0.7105,0.77882,0.50812,1.12898,0.70404,0.00632,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1803.36,1.22884,0.78091,0.00354,0.73831,0.72254,0.78329,0.51915,1.1138,0.69232,0.00625,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1991.41,1.1967,0.73645,0.00344,0.79815,0.72109,0.80666,0.55477,1.0857,0.6424,0.00611,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,2194.99,1.17731,0.7205,0.00335,0.78816,0.73593,0.81494,0.55114,1.08132,0.65904,0.00621,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,2398.12,1.16336,0.69643,0.00328,0.80618,0.71677,0.81463,0.56173,1.03683,0.62302,0.00585,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,2589.47,1.14645,0.68064,0.00323,0.80977,0.7224,0.80258,0.54901,1.0304,0.62426,0.00578,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,2792.42,1.12157,0.66455,0.00316,0.78879,0.73092,0.80736,0.56181,1.03533,0.62228,0.00577,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,2990.14,1.11144,0.64329,0.00311,0.82355,0.74617,0.81987,0.57908,1.00774,0.59066,0.00558,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,3176.87,1.10236,0.62985,0.00307,0.82384,0.77612,0.84483,0.58991,0.9884,0.56729,0.00552,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,3379.96,1.08574,0.62156,0.00303,0.84044,0.7356,0.82949,0.58961,0.9895,0.56808,0.00551,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,3573.18,1.07907,0.60317,0.00298,0.83562,0.78607,0.84696,0.58727,0.9806,0.55304,0.00547,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,3765.8,1.05578,0.59003,0.00294,0.83228,0.78801,0.85081,0.5922,0.96182,0.55818,0.00528,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,3981.55,1.05372,0.57938,0.0029,0.80681,0.81939,0.85208,0.60543,0.9528,0.53517,0.00525,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
