epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,795.568,1.2025,1.60492,0.00493,0.59888,0.54511,0.57415,0.34949,1.30163,1.01356,0.00721,0.00999272,0.00333091,0.00999272,0.00333091,0.00999272,0.00333091,0.00999272,0.00333091
2,1447.89,1.16729,1.02508,0.00495,0.6551,0.56271,0.62426,0.38699,1.27015,0.92608,0.00716,0.0199531,0.00665105,0.0199531,0.00665105,0.0199531,0.00665105,0.0199531,0.00665105
3,2065.42,1.24112,1.0968,0.00561,0.5594,0.51265,0.54639,0.32964,1.35246,1.04977,0.00787,0.029874,0.00995798,0.029874,0.00995798,0.029874,0.00995798,0.029874,0.00995798
4,2679.65,1.28152,1.1135,0.00593,0.598,0.52254,0.57093,0.34462,1.33714,0.99008,0.00782,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,3287.17,1.24953,1.06444,0.00583,0.59144,0.54328,0.57879,0.35935,1.25468,0.93873,0.00734,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,3894.1,1.2178,0.99796,0.00563,0.67012,0.58205,0.64563,0.40596,1.24991,0.8711,0.00725,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,4502.48,1.19044,0.95431,0.00545,0.74457,0.62961,0.69049,0.44245,1.20669,0.80427,0.00685,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,5107.97,1.16236,0.91103,0.00528,0.65739,0.61977,0.66796,0.42879,1.17222,0.80175,0.00665,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,5717.4,1.14783,0.88009,0.00511,0.68997,0.64066,0.69264,0.45241,1.15403,0.77431,0.00651,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,6327.74,1.12264,0.85183,0.00506,0.73156,0.61166,0.69484,0.4578,1.1573,0.76279,0.00656,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,6939.16,1.10871,0.83007,0.0049,0.71451,0.65486,0.72639,0.48004,1.11023,0.73709,0.00628,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,7551.6,1.09276,0.80328,0.00488,0.76536,0.64225,0.7242,0.48453,1.09663,0.72399,0.00622,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,8160.48,1.0726,0.78081,0.00478,0.73129,0.70366,0.76152,0.52029,1.07188,0.68256,0.00598,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,8771.31,1.07284,0.77367,0.00478,0.75758,0.67549,0.7585,0.51826,1.06916,0.66782,0.00599,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
