epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,425.898,1.41442,3.13452,0.00584,0.35254,0.29906,0.28617,0.16446,1.51264,1.4512,0.00871,0.00998544,0.00332848,0.00998544,0.00332848,0.00998544,0.00332848,0.00998544,0.00332848
2,774.133,1.36627,1.78191,0.00573,0.50247,0.39539,0.39866,0.23104,1.49281,1.29597,0.00869,0.0199459,0.00664862,0.0199459,0.00664862,0.0199459,0.00664862,0.0199459,0.00664862
3,1109.62,1.40411,1.45833,0.00619,0.59838,0.35861,0.37997,0.21487,1.55986,1.39429,0.00928,0.0298667,0.00995557,0.0298667,0.00995557,0.0298667,0.00995557,0.0298667,0.00995557
4,1431.74,1.4368,1.35804,0.00646,0.5531,0.39801,0.40878,0.23013,1.50579,1.27703,0.00903,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1759.17,1.40883,1.28103,0.00634,0.51248,0.40215,0.42984,0.24148,1.4897,1.29601,0.00884,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2076.03,1.37998,1.20393,0.00615,0.55208,0.4544,0.46619,0.27078,1.45522,1.21899,0.00852,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2401.95,1.35949,1.1736,0.00606,0.62848,0.46695,0.50366,0.29205,1.43922,1.13236,0.00833,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2727.93,1.35178,1.14548,0.00592,0.61683,0.48556,0.51602,0.29219,1.42574,1.09383,0.00835,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,3055.31,1.32912,1.10569,0.00576,0.65469,0.51031,0.56958,0.34314,1.38042,1.05483,0.00793,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,3382.1,1.32151,1.08884,0.00572,0.64442,0.51391,0.55791,0.3376,1.35569,1.02491,0.00785,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3708.54,1.29852,1.05029,0.00567,0.631,0.55171,0.58169,0.3586,1.33273,1.01604,0.00764,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,4030.45,1.28994,1.02939,0.00553,0.6685,0.52463,0.60601,0.37415,1.33373,0.95594,0.00751,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,4362.34,1.27617,1.01653,0.00546,0.62293,0.56948,0.61187,0.37872,1.33463,0.95333,0.00755,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,4685.91,1.27602,1.01316,0.00547,0.66086,0.58236,0.63307,0.38328,1.29891,0.93721,0.00737,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,5018.66,1.2599,0.98032,0.00539,0.63374,0.55273,0.60878,0.38525,1.2858,0.91497,0.00729,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,5340.49,1.25629,0.97285,0.00532,0.68947,0.5639,0.63675,0.39726,1.28107,0.91355,0.00726,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,5666.39,1.24145,0.96236,0.00528,0.70848,0.57013,0.64146,0.4117,1.2723,0.88151,0.00709,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,5993.86,1.22714,0.94564,0.00517,0.74551,0.58177,0.67611,0.42697,1.25971,0.87375,0.00703,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
