epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,698.257,1.29615,1.70195,0.00536,0.61833,0.45691,0.511,0.2969,1.39862,1.11587,0.00781,0.00999272,0.00333091,0.00999272,0.00333091,0.00999272,0.00333091,0.00999272,0.00333091
2,1245.72,1.24825,1.11971,0.00532,0.66952,0.4904,0.5658,0.34642,1.35376,1.02745,0.00771,0.0199531,0.00665105,0.0199531,0.00665105,0.0199531,0.00665105,0.0199531,0.00665105
3,1782.65,1.30552,1.1699,0.00589,0.59241,0.46001,0.4982,0.29743,1.41185,1.13359,0.00824,0.029874,0.00995798,0.029874,0.00995798,0.029874,0.00995798,0.029874,0.00995798
4,2338.49,1.34,1.19277,0.00621,0.64107,0.47942,0.54499,0.32456,1.38081,1.06432,0.00802,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,2884.7,1.3071,1.14218,0.00609,0.65401,0.49632,0.56939,0.35006,1.33968,1.00292,0.00784,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,3428.78,1.27766,1.07428,0.00591,0.64815,0.51769,0.59075,0.36372,1.31472,0.95378,0.00762,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,3983.41,1.25345,1.02963,0.0057,0.66348,0.55935,0.62696,0.39414,1.27501,0.91599,0.00733,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,4528.3,1.22348,0.98774,0.00549,0.61549,0.59254,0.6194,0.3945,1.24819,0.88728,0.00706,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,5088.88,1.20787,0.96213,0.00536,0.64945,0.59475,0.65125,0.41631,1.23218,0.89697,0.00694,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,5640.52,1.18654,0.94203,0.0053,0.74717,0.61213,0.68027,0.44105,1.22335,0.83678,0.00693,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
