epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,539.637,1.15203,1.54953,0.00458,0.65982,0.56014,0.6084,0.38563,1.23769,0.89793,0.00685,0.00998544,0.00332848,0.00998544,0.00332848,0.00998544,0.00332848,0.00998544,0.00332848
2,969.14,1.09859,0.92012,0.00446,0.76155,0.58806,0.68986,0.43803,1.22635,0.84867,0.00679,0.0199459,0.00664862,0.0199459,0.00664862,0.0199459,0.00664862,0.0199459,0.00664862
3,1362.72,1.16888,0.96486,0.00507,0.667,0.60427,0.63823,0.39341,1.26204,0.90832,0.00725,0.0298667,0.00995557,0.0298667,0.00995557,0.0298667,0.00995557,0.0298667,0.00995557
4,1743.34,1.20899,0.99191,0.00538,0.69725,0.58993,0.66187,0.41415,1.23857,0.85211,0.00719,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,2123.77,1.17805,0.93182,0.00527,0.69536,0.61275,0.68406,0.44731,1.20659,0.82007,0.00686,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2504.92,1.14743,0.86504,0.00507,0.71064,0.65072,0.71037,0.46039,1.18273,0.79741,0.00667,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2885.69,1.11976,0.84139,0.00493,0.76304,0.64167,0.73663,0.48427,1.14369,0.74833,0.00648,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,3266.29,1.09809,0.80542,0.00477,0.74402,0.6604,0.73861,0.48564,1.10234,0.71407,0.0062,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,3651.41,1.07323,0.768,0.00461,0.74182,0.69954,0.76922,0.5181,1.08686,0.68181,0.00619,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,4034.82,1.05941,0.74758,0.00454,0.77646,0.73775,0.78995,0.54002,1.0569,0.63681,0.00588,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,4416.24,1.02617,0.7171,0.00441,0.81253,0.7108,0.80836,0.55089,1.04539,0.63755,0.0058,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,4797.03,1.01286,0.69351,0.00426,0.77179,0.73228,0.80017,0.55209,1.02419,0.61739,0.00579,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,5178.21,0.99992,0.68057,0.00421,0.8156,0.72178,0.81358,0.56481,0.99781,0.59731,0.00552,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,5559.28,0.99279,0.6687,0.0042,0.81975,0.73369,0.82447,0.56778,0.99174,0.58193,0.00553,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,5940.4,0.97211,0.63727,0.00412,0.83318,0.73345,0.83468,0.58005,0.98445,0.57274,0.00544,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,6321,0.96178,0.63126,0.00402,0.84532,0.75749,0.84741,0.59814,0.96939,0.55965,0.00535,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,6702.08,0.94449,0.61375,0.00396,0.79473,0.76483,0.83518,0.59461,0.95045,0.54584,0.00523,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,7083.17,0.93493,0.60189,0.00386,0.84528,0.78347,0.85802,0.6097,0.93694,0.54135,0.00514,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
