epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4517,3.74658,6.90651,0.04272,1e-05,0.0157,0,0,3.75483,4.10545,0.05094,0.000204167,0.000204167,0.000204167
2,91.0678,3.57634,5.78396,0.0403,0.00021,0.01706,0.00012,4e-05,3.89542,4.36961,0.06557,0.000411683,0.000411683,0.000411683
3,119.61,3.2876,4.80418,0.03675,0.00053,0.01916,0.00067,0.00016,3.37043,4.10046,0.04492,0.000618375,0.000618375,0.000618375
4,148.373,3.09967,4.30406,0.03277,0.58686,0.04115,0.00414,0.00076,3.07478,4.03473,0.04577,0.000621287,0.000621287,0.000621287
5,177.77,2.91689,4.11704,0.0315,0.66883,0.01901,0.00524,0.0012,2.84423,3.81636,0.03968,0.00062005,0.00062005,0.00062005
6,206.83,2.87525,3.94901,0.02889,0.0029,0.12085,0.00641,0.00182,2.81983,3.63705,0.03979,0.000618813,0.000618813,0.000618813
7,236.049,2.74859,3.80514,0.02855,0.42967,0.04934,0.01022,0.0025,2.70692,3.55348,0.03595,0.000617575,0.000617575,0.000617575
8,264.57,2.66782,3.74633,0.02743,0.08763,0.12178,0.00647,0.00201,2.75219,3.57367,0.03696,0.000616338,0.000616338,0.000616338
9,293.302,2.6336,3.6457,0.02651,0.68962,0.01928,0.0074,0.00218,2.56062,3.68681,0.03527,0.0006151,0.0006151,0.0006151
10,322.318,2.58255,3.60847,0.0252,0.71192,0.03197,0.02851,0.00799,2.58865,3.32127,0.03452,0.000613863,0.000613863,0.000613863
11,351.731,2.5456,3.49645,0.02479,0.71701,0.02456,0.01668,0.0045,2.60995,3.38565,0.03383,0.000612625,0.000612625,0.000612625
12,380.707,2.49541,3.45518,0.02458,0.80289,0.04103,0.03217,0.01077,2.47219,3.27436,0.0322,0.000611387,0.000611387,0.000611387
13,410.148,2.47171,3.44513,0.0237,0.8174,0.03328,0.03022,0.01038,2.42383,3.22685,0.03192,0.00061015,0.00061015,0.00061015
14,439.348,2.4293,3.38293,0.02406,0.80122,0.03312,0.02361,0.00759,2.45222,3.49041,0.03225,0.000608913,0.000608913,0.000608913
15,468.38,2.41189,3.29172,0.02329,0.79988,0.04487,0.03198,0.01154,2.42443,3.17341,0.03104,0.000607675,0.000607675,0.000607675
16,497.559,2.33237,3.30693,0.02325,0.79381,0.04514,0.03553,0.01305,2.38456,3.2116,0.03009,0.000606437,0.000606437,0.000606437
17,525.359,2.35061,3.26363,0.02247,0.75892,0.05207,0.03623,0.01411,2.41941,3.20145,0.03102,0.0006052,0.0006052,0.0006052
18,555.149,2.34026,3.17839,0.02233,0.74965,0.05274,0.03414,0.01292,2.44011,3.20414,0.03129,0.000603963,0.000603963,0.000603963
19,584.482,2.36513,3.19452,0.0222,0.72039,0.06065,0.03298,0.01127,2.4091,3.16454,0.03091,0.000602725,0.000602725,0.000602725
20,613.649,2.30463,3.14291,0.02105,0.81754,0.04201,0.04087,0.01449,2.3932,3.06839,0.03022,0.000601488,0.000601488,0.000601488
21,642.895,2.26796,3.08549,0.02136,0.65131,0.04873,0.04264,0.01355,2.34362,3.17243,0.03022,0.00060025,0.00060025,0.00060025
22,672.182,2.32595,3.13452,0.02113,0.73486,0.056,0.05011,0.01979,2.3538,3.10681,0.03034,0.000599012,0.000599012,0.000599012
23,701.806,2.27579,3.06801,0.02153,0.7191,0.06522,0.05037,0.01968,2.288,2.97164,0.02916,0.000597775,0.000597775,0.000597775
24,731.361,2.24536,3.01476,0.02184,0.72122,0.06791,0.05015,0.01692,2.40156,3.1544,0.03119,0.000596538,0.000596538,0.000596538
25,759.359,2.26985,3.02932,0.02126,0.57701,0.06136,0.05125,0.01861,2.3256,3.23517,0.03011,0.0005953,0.0005953,0.0005953
26,788.881,2.25024,2.9828,0.02089,0.71761,0.06994,0.0503,0.02072,2.33558,2.92161,0.02927,0.000594062,0.000594062,0.000594062
27,818.077,2.24126,2.97269,0.0209,0.69386,0.09127,0.05305,0.02033,2.3022,3.13575,0.02913,0.000592825,0.000592825,0.000592825
28,847.028,2.22871,2.97331,0.02043,0.56244,0.08235,0.06526,0.02328,2.28561,2.9461,0.02894,0.000591587,0.000591587,0.000591587
29,876.534,2.19127,2.92774,0.02049,0.56129,0.09072,0.05798,0.021,2.28116,2.91317,0.02903,0.00059035,0.00059035,0.00059035
30,905.946,2.18368,2.88082,0.01976,0.68259,0.07814,0.06439,0.02499,2.23647,2.99976,0.0279,0.000589112,0.000589112,0.000589112
31,935.019,2.18392,2.85519,0.01988,0.84296,0.06489,0.07261,0.02427,2.24065,2.95058,0.02774,0.000587875,0.000587875,0.000587875
32,964.524,2.14867,2.81974,0.02032,0.53028,0.09335,0.07704,0.0291,2.2405,2.88726,0.02794,0.000586637,0.000586637,0.000586637
33,992.855,2.14413,2.81052,0.02008,0.22813,0.0953,0.072,0.028,2.25921,2.90524,0.02874,0.0005854,0.0005854,0.0005854
34,1022.16,2.1579,2.81886,0.02008,0.34356,0.10886,0.06699,0.02377,2.29824,2.86946,0.02872,0.000584163,0.000584163,0.000584163
35,1051.5,2.10406,2.74472,0.01943,0.29207,0.09484,0.07596,0.02885,2.27431,2.86977,0.02815,0.000582925,0.000582925,0.000582925
36,1080.78,2.12064,2.77195,0.01945,0.38695,0.09998,0.07358,0.02977,2.21369,2.8605,0.02762,0.000581687,0.000581687,0.000581687
37,1110.17,2.11299,2.73975,0.01885,0.3181,0.10664,0.0689,0.02702,2.24472,2.78914,0.02807,0.00058045,0.00058045,0.00058045
