epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,394.947,3.61271,7.6968,0.05491,0.75224,0.00952,0.00157,0.00034,3.45746,4.69274,0.0515,0.00998236,0.00332745,0.00998236,0.00332745,0.00998236,0.00332745,0.00998236,0.00332745
2,673.288,2.53247,4.52217,0.03674,0.06058,0.01959,0.01323,0.0044,2.83703,4.18173,0.03828,0.0199428,0.0066476,0.0199428,0.0066476,0.0199428,0.0066476,0.0199428,0.0066476
3,923.926,1.89151,2.64903,0.02527,0.23498,0.0489,0.03974,0.01726,2.56238,4.1973,0.03434,0.0298636,0.00995454,0.0298636,0.00995454,0.0298636,0.00995454,0.0298636,0.00995454
4,1165.35,1.64675,2.05802,0.02078,0.28415,0.10611,0.07462,0.03526,2.50247,3.50301,0.03205,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1407.8,1.47966,1.74758,0.01803,0.23033,0.13219,0.084,0.03954,2.38898,3.11084,0.0305,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1650.75,1.36383,1.56305,0.0165,0.22302,0.12814,0.08927,0.04393,2.33418,3.09357,0.02896,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1892.62,1.3011,1.45206,0.01537,0.33224,0.12247,0.12102,0.05551,2.25166,3.09086,0.02756,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2134.79,1.23484,1.35831,0.0145,0.26066,0.18955,0.16819,0.07887,2.18751,2.81028,0.02641,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2376.46,1.19946,1.30959,0.01378,0.32619,0.17106,0.15378,0.07519,2.16377,2.8131,0.02604,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2618.81,1.15336,1.24659,0.01332,0.26238,0.19033,0.18328,0.08334,2.15135,2.68969,0.02587,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,2862.01,1.11597,1.18235,0.01272,0.26634,0.17003,0.15022,0.07678,2.12469,2.67887,0.02585,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,3103.4,1.10836,1.15822,0.01249,0.27456,0.1943,0.18554,0.10213,2.09253,2.6653,0.02474,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
