epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.557,3.74396,7.10563,0.04334,0,0,0,0,3.74732,4.11286,0.05104,0.000204167,0.000204167,0.000204167
2,93.9179,3.67622,6.52893,0.04267,0,0,0,0,3.75733,4.13685,0.05115,0.000411683,0.000411683,0.000411683
3,120.031,3.67085,6.1423,0.04196,0.00025,0.00319,0.00013,3e-05,3.78661,4.21208,0.05141,0.000618375,0.000618375,0.000618375
4,146.111,3.51504,5.52567,0.03862,0.00059,0.03603,0.00039,8e-05,3.48135,6.04986,0.05117,0.000621287,0.000621287,0.000621287
5,171.264,3.39626,5.2202,0.03859,0.00048,0.0278,0.00044,9e-05,3.32374,4.09825,0.04869,0.00062005,0.00062005,0.00062005
6,196.441,3.2199,4.77265,0.0343,0.00056,0.03871,0.00075,0.00017,3.18079,3.87872,0.04451,0.000618813,0.000618813,0.000618813
7,219.621,3.076,4.58821,0.03377,0.75456,0.00455,0.00122,0.00029,3.04029,3.77748,0.0432,0.000617575,0.000617575,0.000617575
8,242.493,2.94982,4.38894,0.03225,0.59143,0.00555,0.00382,0.0011,2.89043,3.68296,0.04086,0.000616338,0.000616338,0.000616338
9,268.096,2.91419,4.27693,0.03129,0.00349,0.06186,0.00462,0.00133,2.87426,3.60098,0.03929,0.0006151,0.0006151,0.0006151
10,293.89,2.88224,4.15404,0.0297,0.0029,0.08414,0.00469,0.00117,2.85887,3.57508,0.03924,0.000613863,0.000613863,0.000613863
11,319.694,2.82844,4.00646,0.02908,0.8399,0.00935,0.00331,0.0011,2.88218,3.61107,0.03921,0.000612625,0.000612625,0.000612625
12,345.088,2.76274,3.96174,0.0286,0.83666,0.02306,0.0077,0.00246,2.70738,3.56021,0.03628,0.000611387,0.000611387,0.000611387
13,370.998,2.69808,3.88966,0.02717,0.75941,0.01185,0.00873,0.00317,2.68265,3.47851,0.03642,0.00061015,0.00061015,0.00061015
14,394.965,2.67037,3.81308,0.02776,0.9332,0.00885,0.01082,0.00356,2.65159,3.49694,0.03546,0.000608913,0.000608913,0.000608913
15,418.162,2.63785,3.71184,0.02672,0.92539,0.01551,0.00935,0.00319,2.67288,3.4224,0.03547,0.000607675,0.000607675,0.000607675
16,443.923,2.57484,3.74506,0.0268,0.91979,0.03131,0.00989,0.00346,2.6281,3.43619,0.03526,0.000606437,0.000606437,0.000606437
17,470.572,2.54804,3.6954,0.02561,0.9244,0.01721,0.01905,0.00517,2.59058,3.43033,0.03432,0.0006052,0.0006052,0.0006052
18,496.213,2.55102,3.60927,0.02553,0.93369,0.00965,0.01285,0.00423,2.5397,3.36849,0.03384,0.000603963,0.000603963,0.000603963
19,522.74,2.56083,3.61213,0.02533,0.93109,0.01235,0.01225,0.00415,2.4924,3.35634,0.03295,0.000602725,0.000602725,0.000602725
20,548.418,2.52307,3.59823,0.02426,0.00834,0.23495,0.01946,0.0064,2.52901,3.41183,0.0333,0.000601488,0.000601488,0.000601488
21,574.485,2.50035,3.53406,0.0243,0.01207,0.23302,0.02041,0.007,2.57478,3.49733,0.03393,0.00060025,0.00060025,0.00060025
22,598.507,2.51655,3.5592,0.02386,0.00804,0.23222,0.02908,0.00965,2.59018,3.40871,0.03394,0.000599012,0.000599012,0.000599012
23,621.346,2.49742,3.49063,0.02472,0.84295,0.01911,0.02781,0.00935,2.47292,3.33291,0.03191,0.000597775,0.000597775,0.000597775
24,647.028,2.4573,3.47749,0.02465,0.93538,0.01165,0.02734,0.00893,2.49401,3.34306,0.03242,0.000596538,0.000596538,0.000596538
25,673.221,2.4736,3.47757,0.02407,0.34845,0.11349,0.01948,0.00636,2.52975,3.34591,0.03387,0.0005953,0.0005953,0.0005953
26,699.651,2.44957,3.43759,0.02387,0.85724,0.01933,0.02627,0.00893,2.46095,3.20657,0.03154,0.000594062,0.000594062,0.000594062
27,724.048,2.42817,3.3763,0.02312,0.86248,0.0141,0.0224,0.00879,2.42433,3.23358,0.03111,0.000592825,0.000592825,0.000592825
28,749.832,2.41497,3.40891,0.02284,0.69621,0.03165,0.02194,0.0083,2.52521,3.32075,0.03239,0.000591587,0.000591587,0.000591587
29,773.846,2.39481,3.39497,0.0234,0.8625,0.01803,0.02751,0.00941,2.49245,3.19524,0.03294,0.00059035,0.00059035,0.00059035
30,796.544,2.34399,3.33181,0.02207,0.87777,0.01974,0.03034,0.01074,2.40032,3.12941,0.03086,0.000589112,0.000589112,0.000589112
31,822.75,2.36103,3.28219,0.02231,0.79908,0.02979,0.02829,0.00937,2.44919,3.17931,0.03177,0.000587875,0.000587875,0.000587875
