epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,360.972,3.54865,7.75348,0.05432,0.00103,0.10125,0.0007,0.00018,3.40462,4.74215,0.05217,0.00998236,0.00332745,0.00998236,0.00332745,0.00998236,0.00332745,0.00998236,0.00332745
2,617.269,2.60813,4.97526,0.03838,0.12394,0.02522,0.01842,0.00728,2.82837,4.2688,0.03887,0.0199428,0.0066476,0.0199428,0.0066476,0.0199428,0.0066476,0.0199428,0.0066476
3,864.501,2.02857,2.98423,0.0276,0.19667,0.02773,0.01946,0.00735,2.68816,4.32078,0.03654,0.0298636,0.00995454,0.0298636,0.00995454,0.0298636,0.00995454,0.0298636,0.00995454
4,1097.71,1.79681,2.35661,0.02318,0.40025,0.07616,0.05281,0.02038,2.61386,3.52084,0.03485,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1332.01,1.63351,2.03444,0.02032,0.19425,0.07899,0.0575,0.0269,2.44688,3.56659,0.03206,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1565.66,1.53199,1.83336,0.01899,0.22665,0.11827,0.07804,0.036,2.42347,3.44737,0.03116,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1801.03,1.47496,1.71854,0.01796,0.25886,0.12063,0.09182,0.04203,2.3856,3.32901,0.03072,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2035.13,1.40318,1.61386,0.0169,0.31577,0.12146,0.11267,0.0524,2.32813,3.26464,0.02938,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2268.22,1.37351,1.56591,0.0162,0.36161,0.14085,0.1024,0.04796,2.32313,3.04885,0.02929,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2506.57,1.3147,1.49863,0.01559,0.31626,0.12333,0.11155,0.05137,2.24498,2.99039,0.02781,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
