epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1484,3.32476,5.13732,0.03309,3e-05,0.02544,2e-05,0,3.24056,3.96121,0.04051,0.000205026,0.000205026,0.000205026
2,88.049,3.27616,4.97408,0.03163,0.00775,0.02584,0.00408,0.00041,3.30887,4.06575,0.04179,0.000412541,0.000412541,0.000412541
3,117.938,3.06778,4.65871,0.02961,0.00169,0.06477,0.0013,0.00034,nan,nan,nan,0.000619231,0.000619231,0.000619231
4,146.476,2.85244,4.3466,0.02607,0.2557,0.01655,0.00477,0.00129,nan,nan,nan,0.000621287,0.000621287,0.000621287
5,176.564,2.70774,4.11767,0.02404,0.43949,0.03232,0.01676,0.00512,nan,nan,nan,0.00062005,0.00062005,0.00062005
6,205.185,2.55675,3.81771,0.0219,0.25623,0.06002,0.04318,0.01605,2.34527,3.32733,0.02771,0.000618813,0.000618813,0.000618813
7,235.26,2.41965,3.66667,0.02116,0.28282,0.08036,0.05641,0.02447,2.2545,3.20536,0.02636,0.000617575,0.000617575,0.000617575
8,263.55,2.36276,3.53041,0.02054,0.45262,0.07014,0.05741,0.02479,2.24919,3.14657,0.02645,0.000616338,0.000616338,0.000616338
9,290.184,2.2754,3.40259,0.01892,0.3697,0.09415,0.07525,0.03134,2.17783,2.98896,0.0251,0.0006151,0.0006151,0.0006151
10,319.102,2.21914,3.28982,0.01834,0.3293,0.10593,0.08767,0.03598,2.13582,2.93011,0.02429,0.000613863,0.000613863,0.000613863
11,349.054,2.14461,3.22028,0.01842,0.35198,0.13789,0.11083,0.05149,2.00724,2.80411,0.02274,0.000612625,0.000612625,0.000612625
12,378.01,2.14471,3.16214,0.01774,0.35444,0.16309,0.11674,0.05472,1.9624,2.80607,0.02217,0.000611387,0.000611387,0.000611387
13,407.121,2.07849,3.06986,0.01747,0.30105,0.1512,0.10551,0.05074,2.02974,2.80959,0.02307,0.00061015,0.00061015,0.00061015
14,436.3,2.04191,2.99337,0.01738,0.42184,0.17512,0.13296,0.06257,1.96393,2.7046,0.02217,0.000608913,0.000608913,0.000608913
15,464.968,2.02963,2.94923,0.01696,0.25032,0.18461,0.13826,0.06641,1.93274,2.65243,0.02157,0.000607675,0.000607675,0.000607675
16,494.545,2.00967,2.88633,0.01674,0.34499,0.16805,0.13947,0.06842,1.98224,2.61914,0.02244,0.000606437,0.000606437,0.000606437
17,523.053,1.98049,2.78357,0.01574,0.27698,0.16885,0.13533,0.06675,1.8939,2.69307,0.02138,0.0006052,0.0006052,0.0006052
18,553.11,1.98252,2.81888,0.01662,0.36399,0.18201,0.15017,0.07286,1.87049,2.55221,0.02076,0.000603963,0.000603963,0.000603963
19,579.417,1.98904,2.77552,0.01612,0.34105,0.18545,0.15254,0.07726,1.88027,2.57643,0.02103,0.000602725,0.000602725,0.000602725
20,609.04,1.927,2.70485,0.01584,0.3912,0.20953,0.16797,0.0872,1.83107,2.46501,0.02015,0.000601488,0.000601488,0.000601488
21,637.499,1.93918,2.70136,0.01641,0.36452,0.20823,0.1583,0.08042,1.87277,2.51753,0.02107,0.00060025,0.00060025,0.00060025
22,666.715,1.93806,2.65724,0.01523,0.298,0.22239,0.17199,0.08726,1.8639,2.46491,0.02076,0.000599012,0.000599012,0.000599012
23,696.3,1.91393,2.60171,0.01541,0.31745,0.21691,0.19698,0.10429,1.76772,2.36431,0.01923,0.000597775,0.000597775,0.000597775
24,725.541,1.87409,2.52308,0.01509,0.42872,0.22709,0.19743,0.10122,1.80626,2.38683,0.02,0.000596538,0.000596538,0.000596538
25,755.199,1.90677,2.58851,0.01569,0.42823,0.21578,0.18486,0.09507,1.79178,2.39558,0.0198,0.0005953,0.0005953,0.0005953
26,784.442,1.86137,2.54134,0.01476,0.42177,0.22878,0.19439,0.09953,1.80869,2.40153,0.02013,0.000594062,0.000594062,0.000594062
27,813.549,1.86242,2.44199,0.0147,0.34906,0.25141,0.2211,0.11626,1.74913,2.28644,0.01906,0.000592825,0.000592825,0.000592825
28,841.675,1.8301,2.42086,0.0142,0.44178,0.24818,0.21293,0.11172,1.75571,2.30941,0.01932,0.000591587,0.000591587,0.000591587
29,871.275,1.83897,2.43349,0.01452,0.31518,0.2524,0.21912,0.11354,1.7484,2.35373,0.01897,0.00059035,0.00059035,0.00059035
30,896.637,1.81686,2.40164,0.01439,0.33762,0.25817,0.21676,0.11176,1.76535,2.27221,0.01918,0.000589112,0.000589112,0.000589112
