epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7253,3.31667,5.21068,0.03299,0.00011,0.02861,8e-05,2e-05,3.21283,3.97286,0.0403,0.00019375,0.00019375,0.00019375
2,37.0769,3.30652,5.12789,0.03126,0.00012,0.03021,0.00011,3e-05,3.21037,3.98341,0.04026,0.00039297,0.00039297,0.00039297
3,56.5805,3.27036,5.04885,0.03161,0.00013,0.02896,0.00012,3e-05,3.21165,4.00608,0.04072,0.000591399,0.000591399,0.000591399
4,72.3731,3.21413,4.93932,0.03074,0.00032,0.02806,0.00022,6e-05,3.23733,4.04489,0.04172,0.000621287,0.000621287,0.000621287
5,90.212,3.13641,4.79298,0.02967,0.00294,0.05397,0.00177,0.00044,3.20148,4.13071,0.04109,0.00062005,0.00062005,0.00062005
6,110.929,3.06327,4.683,0.02804,0.00316,0.10181,0.00268,0.00063,3.02661,3.89137,0.03761,0.000618813,0.000618813,0.000618813
7,131.761,2.98622,4.53002,0.02737,0.00239,0.11211,0.00266,0.00066,2.94573,3.86419,0.03685,0.000617575,0.000617575,0.000617575
8,151.341,2.86667,4.44508,0.0269,0.00638,0.13317,0.00475,0.00108,2.81388,4.29906,0.03515,0.000616338,0.000616338,0.000616338
9,170.586,2.80356,4.30525,0.02473,0.26056,0.02496,0.00661,0.00173,2.71582,3.7758,0.03343,0.0006151,0.0006151,0.0006151
10,191.014,2.72933,4.21525,0.0239,0.00543,0.17928,0.00813,0.0023,2.61784,3.67623,0.03181,0.000613863,0.000613863,0.000613863
11,210.489,2.64446,4.13171,0.02364,0.48851,0.03177,0.02081,0.00637,2.48803,3.46038,0.02981,0.000612625,0.000612625,0.000612625
12,229.819,2.56953,4.00533,0.02276,0.40872,0.02369,0.0261,0.00963,2.39923,3.36961,0.02858,0.000611387,0.000611387,0.000611387
13,251.246,2.55639,3.97728,0.02212,0.33521,0.0367,0.03329,0.01169,2.30671,3.31214,0.02722,0.00061015,0.00061015,0.00061015
14,271.062,2.46286,3.84384,0.02078,0.23254,0.02834,0.03184,0.01116,2.33018,3.35454,0.02758,0.000608913,0.000608913,0.000608913
15,289.843,2.42683,3.79324,0.02078,0.49571,0.04503,0.03443,0.01242,2.2399,3.20699,0.02629,0.000607675,0.000607675,0.000607675
16,306.997,2.34846,3.6878,0.02037,0.54186,0.06883,0.05038,0.02054,2.22883,3.16167,0.02599,0.000606437,0.000606437,0.000606437
17,327.691,2.30638,3.58526,0.019,0.52184,0.06438,0.05707,0.02321,2.16571,3.09103,0.02515,0.0006052,0.0006052,0.0006052
18,346.193,2.2728,3.54968,0.0196,0.41401,0.07125,0.05695,0.02404,2.13575,3.09639,0.02472,0.000603963,0.000603963,0.000603963
19,367.828,2.29417,3.50379,0.01888,0.45102,0.08958,0.06196,0.02598,2.14708,3.04591,0.02469,0.000602725,0.000602725,0.000602725
20,388.465,2.25851,3.46669,0.01848,0.36875,0.09794,0.06985,0.02991,2.11693,2.98813,0.0246,0.000601488,0.000601488,0.000601488
21,406.562,2.24314,3.42282,0.01899,0.442,0.09391,0.07112,0.03162,2.13388,2.95264,0.02438,0.00060025,0.00060025,0.00060025
