epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,129.326,3.48312,7.3469,0.04839,0.00125,0.05676,0.0007,0.00015,3.29171,4.51893,0.04272,0.00995595,0.00331865,0.00995595,0.00331865,0.00995595,0.00331865,0.00995595,0.00331865
2,194.51,3.25068,6.38527,0.04516,0.00142,0.14671,0.0014,0.00034,2.98873,4.19659,0.03819,0.0199164,0.00663881,0.0199164,0.00663881,0.0199164,0.00663881,0.0199164,0.00663881
3,252.108,2.7129,4.72015,0.03727,0.18398,0.03766,0.01116,0.00369,2.548,4.27416,0.03102,0.0298373,0.00994577,0.0298373,0.00994577,0.0298373,0.00994577,0.0298373,0.00994577
4,307.468,2.27835,3.80741,0.02929,0.23087,0.07992,0.034,0.01431,2.26922,3.79357,0.02612,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,362.211,2.04607,3.29844,0.025,0.45376,0.12156,0.08394,0.03789,2.14927,3.39458,0.02388,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,416.728,1.93839,3.01969,0.02394,0.30194,0.11737,0.09064,0.04148,2.05761,3.41896,0.0233,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,471.698,1.84179,2.77994,0.02254,0.42772,0.13516,0.11236,0.06,2.00601,3.11051,0.02219,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,526.788,1.76884,2.64686,0.02142,0.35351,0.13125,0.11041,0.05524,2.07754,3.0575,0.0233,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,581.299,1.72357,2.52662,0.0207,0.3135,0.18965,0.16419,0.08194,1.89515,2.767,0.02049,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,636.351,1.68434,2.41465,0.01951,0.46288,0.22142,0.17034,0.09166,1.85609,2.78929,0.02003,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,691.499,1.64292,2.35679,0.01874,0.38818,0.22623,0.18597,0.09981,1.80074,2.68665,0.01929,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,747.002,1.58124,2.24226,0.01836,0.38587,0.22433,0.19879,0.10632,1.80475,2.53426,0.01909,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,801.57,1.57385,2.19721,0.01819,0.40126,0.22461,0.1778,0.09968,1.77617,2.7377,0.01915,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,856.828,1.53219,2.12664,0.01735,0.36613,0.22818,0.19688,0.10999,1.78503,2.55365,0.01886,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,911.574,1.51353,2.05801,0.01687,0.36406,0.26888,0.22331,0.12701,1.74617,2.45804,0.0185,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,966.641,1.48164,2.0075,0.01672,0.37247,0.25865,0.22799,0.12813,1.76187,2.42883,0.01869,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,1021.46,1.46902,1.96482,0.01645,0.37824,0.25939,0.22601,0.1243,1.77658,2.45488,0.01896,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,1076.21,1.457,1.93571,0.01609,0.38911,0.24093,0.22163,0.12962,1.71939,2.52926,0.01808,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,1131.18,1.44741,1.90578,0.01599,0.36383,0.29664,0.25547,0.14561,1.7057,2.2577,0.01779,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,1186.26,1.4158,1.8622,0.01556,0.36317,0.24829,0.22645,0.1279,1.71586,2.44439,0.01792,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,1241,1.41863,1.83964,0.01568,0.54155,0.27216,0.27025,0.15785,1.66783,2.17037,0.01741,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,1295.56,1.3821,1.78982,0.01517,0.42018,0.29174,0.25389,0.15147,1.66995,2.34048,0.01739,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,1350.41,1.37786,1.76775,0.015,0.382,0.29932,0.2601,0.14801,1.69328,2.20654,0.0178,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,1404.99,1.35721,1.7221,0.01472,0.4683,0.2881,0.27496,0.15822,1.66199,2.22201,0.01724,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,1459.75,1.34922,1.70752,0.01445,0.43544,0.31344,0.29893,0.17461,1.62549,2.10345,0.01672,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,1514.23,1.34693,1.71191,0.01411,0.42747,0.30492,0.27652,0.16329,1.64383,2.1519,0.01708,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,1569.13,1.32503,1.66427,0.01432,0.40332,0.28653,0.26616,0.15705,1.66158,2.22233,0.01721,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,1623.94,1.29723,1.62811,0.01386,0.39154,0.30505,0.306,0.18203,1.62261,2.05617,0.01678,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,1678.73,1.28247,1.61356,0.01366,0.3978,0.33677,0.28615,0.16844,1.63794,2.07997,0.01715,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,1733.88,1.30683,1.63664,0.01379,0.43476,0.34469,0.31936,0.18503,1.59635,2.04474,0.01631,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,1788.6,1.29552,1.59394,0.0134,0.43469,0.30097,0.2884,0.17549,1.61445,2.21512,0.01649,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,1843.61,1.2703,1.54234,0.01336,0.43138,0.34192,0.3231,0.19424,1.59716,2.06737,0.01636,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,1898.4,1.25756,1.55657,0.01336,0.46832,0.34717,0.33174,0.19419,1.58016,1.9682,0.0162,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,1953.16,1.25939,1.5475,0.01336,0.46975,0.32627,0.31031,0.18435,1.59016,2.05161,0.01631,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,2008.02,1.2306,1.5148,0.01309,0.48881,0.32435,0.31348,0.18741,1.58636,1.98112,0.01639,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,2062.91,1.21302,1.49367,0.01309,0.47398,0.36359,0.34388,0.20435,1.56471,1.94585,0.01609,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,2117.55,1.22561,1.49579,0.01309,0.47066,0.36503,0.34241,0.20754,1.57738,1.96215,0.0162,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,2172.85,1.21109,1.48333,0.01269,0.48098,0.35018,0.34271,0.2086,1.5573,1.95436,0.01591,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,2227.65,1.23896,1.49175,0.01258,0.46771,0.34614,0.34158,0.20582,1.56922,1.95488,0.01605,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,2282.77,1.21266,1.46166,0.01274,0.47169,0.34572,0.33917,0.20631,1.57498,1.95144,0.01611,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,2337.46,1.21374,1.44425,0.01264,0.53459,0.34685,0.35814,0.22013,1.56091,1.90368,0.01602,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,2392.58,1.20633,1.43332,0.01245,0.39654,0.37658,0.35592,0.21504,1.54204,1.95815,0.01588,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,2447.6,1.18431,1.43426,0.01246,0.40879,0.31682,0.3283,0.20431,1.5454,2.00941,0.01571,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,2502.43,1.18633,1.41379,0.0122,0.42775,0.37459,0.36887,0.22311,1.54025,1.84647,0.01556,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,2556.92,1.17559,1.39518,0.01225,0.48932,0.40048,0.36174,0.22185,1.54666,1.87431,0.01571,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,2612,1.16891,1.36819,0.01218,0.512,0.37233,0.3668,0.22367,1.53118,1.85194,0.01551,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,2666.78,1.17612,1.36143,0.01195,0.42294,0.37581,0.3553,0.21846,1.5326,1.91937,0.01565,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
48,2721.71,1.15033,1.36281,0.01189,0.45602,0.33591,0.32009,0.19758,1.55785,2.06406,0.01585,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694,0.0272082,0.0090694
49,2776.31,1.17431,1.37055,0.012,0.48096,0.3917,0.36205,0.22058,1.54978,1.85354,0.01586,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
50,2831.26,1.15032,1.33538,0.01196,0.51634,0.36759,0.35697,0.21908,1.53246,1.90209,0.01555,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298,0.0270894,0.0090298
51,2885.63,1.1444,1.32774,0.01153,0.52972,0.38099,0.37926,0.22967,1.52382,1.79367,0.01557,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
52,2940.28,1.1465,1.32585,0.01176,0.51101,0.41972,0.38449,0.23558,1.53219,1.80261,0.01562,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902,0.0269706,0.0089902
53,2995.3,1.1246,1.28637,0.01145,0.51735,0.40653,0.39339,0.23906,1.5169,1.81146,0.01544,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
54,3050.17,1.13464,1.28386,0.01152,0.44384,0.3889,0.38825,0.23437,1.51934,1.7847,0.01547,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506,0.0268518,0.0089506
55,3104.85,1.10566,1.2787,0.01142,0.43036,0.41476,0.39726,0.24105,1.48636,1.8123,0.01496,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,3158.95,1.11828,1.27278,0.01154,0.50724,0.41941,0.40671,0.24667,1.52199,1.80522,0.01549,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,3213.79,1.10571,1.25893,0.01116,0.54636,0.40276,0.39798,0.24286,1.51075,1.79017,0.01532,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,3268.76,1.08261,1.23087,0.01127,0.45901,0.38638,0.40021,0.24685,1.50745,1.79452,0.01518,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,3323.66,1.11076,1.23678,0.01137,0.51381,0.4003,0.39499,0.24068,1.51993,1.7993,0.01551,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,3378.82,1.10114,1.24155,0.01108,0.45367,0.40458,0.3944,0.24179,1.50386,1.77856,0.01511,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,3433.46,1.10249,1.25303,0.01106,0.53369,0.38738,0.39565,0.23781,1.51667,1.82403,0.01541,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,3488.04,1.10185,1.24228,0.01129,0.56159,0.38217,0.39847,0.24877,1.49606,1.85046,0.01501,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,3543.01,1.08572,1.20725,0.01089,0.50365,0.40882,0.38614,0.2382,1.50167,1.81932,0.01524,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,3597.86,1.06506,1.19928,0.01096,0.50744,0.406,0.38699,0.24055,1.4967,1.80523,0.0151,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,3651.59,1.07424,1.2107,0.01082,0.44988,0.39818,0.40001,0.24683,1.4985,1.79075,0.01515,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,3706.51,1.0775,1.19391,0.01103,0.54406,0.38061,0.38934,0.23884,1.51306,1.84135,0.01532,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
