epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,201.863,3.73219,7.75669,0.06423,0.00087,0.02904,0.00052,0.00013,3.71537,4.57881,0.08817,0.00997207,0.00332402,0.00997207,0.00332402,0.00997207,0.00332402,0.00997207,0.00332402
2,319.644,3.28733,6.31055,0.05879,0.00189,0.08657,0.00152,0.00036,2.72131,4.14039,0.06861,0.0199325,0.00664417,0.0199325,0.00664417,0.0199325,0.00664417,0.0199325,0.00664417
3,426.518,2.39536,4.59516,0.03968,0.00455,0.34959,0.01199,0.0039,2.21577,3.8857,0.05159,0.0298534,0.00995113,0.0298534,0.00995113,0.0298534,0.00995113,0.0298534,0.00995113
4,529.309,2.03631,3.98944,0.03239,0.55351,0.07198,0.04138,0.01489,2.0192,3.60157,0.0459,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,632.887,1.88929,3.6642,0.02904,0.36193,0.09372,0.0588,0.0232,1.97441,3.42236,0.04478,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,735.447,1.825,3.43008,0.02774,0.23993,0.13442,0.07998,0.03428,1.93059,3.2899,0.04392,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,838.835,1.77007,3.29182,0.02667,0.2577,0.18582,0.11679,0.05437,1.80832,3.0251,0.04037,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,940.754,1.73291,3.18405,0.0257,0.30509,0.19726,0.12919,0.0649,1.76373,2.94949,0.03878,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1044.08,1.68803,3.07882,0.0249,0.23928,0.20565,0.14282,0.07035,1.77797,2.8793,0.03957,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1147.1,1.66313,2.98419,0.02467,0.27919,0.23507,0.16982,0.08656,1.69525,2.69817,0.0366,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1250.66,1.63768,2.88546,0.02426,0.34311,0.25835,0.20092,0.10463,1.6865,2.6021,0.03654,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
