epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.638,3.82751,7.99438,0.06715,0,0,0,0,3.92997,3.98007,0.08885,0.000136794,0.000136794,0.000136794
2,265.944,3.6306,6.9762,0.06181,0.00016,0.00231,9e-05,2e-05,3.80174,4.02272,0.09276,0.000275248,0.000275248,0.000275248
3,370.73,3.31177,5.70934,0.05753,0.00182,0.03418,0.00105,0.00032,nan,nan,nan,0.000413151,0.000413151,0.000413151
4,472.485,3.0128,5.0064,0.05295,0.00155,0.09148,0.00145,0.00037,nan,nan,nan,0.000414523,0.000414523,0.000414523
5,574.636,2.84726,4.70267,0.04879,0.0016,0.13959,0.00255,0.00059,nan,nan,nan,0.000413697,0.000413697,0.000413697
6,677.579,2.67427,4.52491,0.04638,0.0032,0.1857,0.0052,0.00142,nan,nan,nan,0.000412872,0.000412872,0.000412872
7,780.591,2.52415,4.42864,0.04303,0.00404,0.23929,0.00629,0.00181,2.45425,4.02235,0.0598,0.000412046,0.000412046,0.000412046
8,883.34,2.41712,4.31969,0.04057,0.00277,0.28906,0.00464,0.00134,2.36455,4.05501,0.05635,0.00041122,0.00041122,0.00041122
9,986.521,2.33222,4.23401,0.03923,0.85397,0.03132,0.0103,0.00281,2.3228,4.02598,0.05591,0.000410395,0.000410395,0.000410395
10,1093.2,2.28908,4.1996,0.03687,0.00726,0.35103,0.0123,0.00396,2.21452,4.01931,0.05194,0.000409569,0.000409569,0.000409569
11,1196.22,2.21574,4.09699,0.03712,0.00562,0.36696,0.01171,0.00365,2.35817,3.81209,0.05527,0.000408743,0.000408743,0.000408743
12,1299.71,2.16725,4.07649,0.0348,0.00627,0.38153,0.0153,0.00468,2.15332,3.92668,0.05126,0.000407918,0.000407918,0.000407918
13,1402.82,2.07797,3.92515,0.03327,0.4679,0.11596,0.01954,0.00607,2.15577,3.69607,0.05059,0.000407092,0.000407092,0.000407092
14,1506.49,2.07267,3.90086,0.03343,0.00661,0.47511,0.02375,0.00782,2.14386,3.64985,0.05013,0.000406266,0.000406266,0.000406266
15,1612.71,2.08286,3.85108,0.03339,0.60381,0.04267,0.02409,0.00805,nan,nan,nan,0.000405441,0.000405441,0.000405441
16,1716.73,2.04924,3.81839,0.03219,0.49522,0.07506,0.02137,0.0072,2.15658,4.28339,0.05012,0.000404615,0.000404615,0.000404615
17,1820.31,1.95632,3.77134,0.03021,0.41956,0.07572,0.02246,0.00751,2.16818,3.67475,0.05049,0.000403789,0.000403789,0.000403789
18,1923.59,1.95342,3.71994,0.03059,0.54737,0.02932,0.02609,0.00907,2.14548,3.57429,0.04949,0.000402964,0.000402964,0.000402964
19,2028.01,2.00963,3.70255,0.03184,0.54016,0.05429,0.03378,0.01149,2.09555,3.55314,0.04837,0.000402138,0.000402138,0.000402138
20,2133.39,1.97484,3.66601,0.03118,0.55606,0.05103,0.04297,0.01611,1.99707,3.47027,0.04542,0.000401312,0.000401312,0.000401312
21,2239.07,1.95184,3.61485,0.03081,0.50692,0.05614,0.04786,0.01781,2.02576,3.39249,0.04648,0.000400487,0.000400487,0.000400487
22,2342.61,1.92488,3.54745,0.03023,0.51527,0.07328,0.04778,0.01741,2.0419,3.44519,0.04702,0.000399661,0.000399661,0.000399661
23,2445.86,1.91718,3.5312,0.03067,0.50138,0.06857,0.04547,0.01738,2.02173,3.45351,0.04632,0.000398835,0.000398835,0.000398835
24,2549.73,1.88687,3.4851,0.02895,0.47453,0.07561,0.05686,0.0222,1.95095,3.36879,0.04408,0.00039801,0.00039801,0.00039801
25,2653.34,1.87262,3.46978,0.02858,0.38026,0.08066,0.04962,0.019,1.99757,3.44768,0.04514,0.000397184,0.000397184,0.000397184
26,2761.25,1.87334,3.38523,0.02854,0.34453,0.0924,0.0578,0.02269,1.99525,3.35052,0.04536,0.000396358,0.000396358,0.000396358
