epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,331.266,3.63363,8.41195,0.05719,0.00028,0.00882,0.00019,4e-05,3.84173,4.1665,0.09009,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444
2,565.199,2.73666,5.94793,0.04203,0.2881,0.01102,0.00763,0.00229,2.50987,4.07675,0.06135,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446
3,778.71,2.03741,3.74953,0.0285,0.07907,0.06505,0.02365,0.00848,2.22459,3.9818,0.05305,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155
4,984.996,1.79383,2.96063,0.02489,0.14791,0.08648,0.04857,0.019,2.14559,3.8418,0.05009,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1191.83,1.64134,2.53737,0.02194,0.16418,0.08337,0.05607,0.02316,2.01082,3.79718,0.04662,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1401.23,1.50641,2.24652,0.0199,0.21761,0.17702,0.11542,0.0513,1.97463,3.15564,0.04522,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1610.43,1.43874,2.06731,0.01864,0.24199,0.20793,0.1425,0.06533,1.89808,3.06536,0.0432,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1820.03,1.36421,1.91357,0.01762,0.27144,0.21094,0.15841,0.07708,1.86502,2.99522,0.0425,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2029.16,1.31339,1.80666,0.01702,0.27693,0.2222,0.16398,0.07961,1.85545,3.01917,0.04212,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2237.88,1.26777,1.72015,0.01599,0.31875,0.24411,0.20285,0.10436,1.79656,2.8453,0.04029,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,2444.31,1.24391,1.64289,0.01568,0.33113,0.26423,0.22606,0.11581,1.75111,2.73659,0.03922,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,2649.47,1.21775,1.57384,0.01522,0.31945,0.25394,0.20782,0.10818,1.77575,2.83714,0.03971,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,2857.31,1.18598,1.51754,0.01479,0.33176,0.27373,0.22789,0.11531,1.77345,2.6986,0.04018,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,3066.39,1.16529,1.46722,0.01448,0.35338,0.28426,0.24205,0.13006,1.71821,2.63246,0.03837,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,3275.63,1.1434,1.43439,0.01421,0.37926,0.29686,0.26571,0.14397,1.69259,2.58239,0.03756,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,3484.98,1.10799,1.38451,0.01346,0.37288,0.30215,0.27184,0.15167,1.66275,2.51474,0.03675,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,3694.31,1.09291,1.3382,0.01346,0.41861,0.32087,0.30031,0.16869,1.64795,2.5203,0.03617,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
