epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.113,3.78062,8.19756,0.0667,0,0,0,0,3.92426,3.98726,0.08848,0.000136794,0.000136794,0.000136794
2,142.717,3.66001,7.57103,0.06268,0,0,0,0,3.91955,4.00061,0.08933,0.000275248,0.000275248,0.000275248
3,175.912,3.68196,7.28693,0.06372,0.00059,0.01064,0.00033,8e-05,3.75743,4.07356,0.09092,0.000413151,0.000413151,0.000413151
4,212.014,3.52297,6.83174,0.06247,0.00084,0.06241,0.00061,0.00014,3.4168,4.05447,0.08729,0.000414523,0.000414523,0.000414523
5,248.214,3.32154,6.12071,0.05752,0.00115,0.03728,0.0008,0.00016,3.40241,3.99388,0.08439,0.000413697,0.000413697,0.000413697
6,284.953,3.14997,5.66067,0.05594,0.001,0.0539,0.00078,0.00018,3.25638,3.95293,0.08171,0.000412872,0.000412872,0.000412872
7,321.91,3.01575,5.30019,0.0535,0.00854,0.07941,0.00482,0.001,3.10625,4.10508,0.07895,0.000412046,0.000412046,0.000412046
8,359.489,2.89946,5.03497,0.05085,0.00251,0.13241,0.00251,0.00056,2.88144,3.9228,0.07277,0.00041122,0.00041122,0.00041122
9,397.188,2.73904,4.85136,0.04817,0.00228,0.13941,0.00329,0.0008,2.823,3.96995,0.07105,0.000410395,0.000410395,0.000410395
10,435.115,2.66563,4.7389,0.04551,0.00391,0.20428,0.00557,0.0014,2.64538,3.89654,0.06558,0.000409569,0.000409569,0.000409569
11,473.003,2.56477,4.61662,0.04469,0.00279,0.21179,0.00502,0.00135,2.58218,3.87694,0.06311,0.000408743,0.000408743,0.000408743
12,510.912,2.51271,4.55703,0.04217,0.00326,0.24368,0.00627,0.00165,nan,nan,nan,0.000407918,0.000407918,0.000407918
13,548.885,2.38498,4.39179,0.04021,0.00312,0.28482,0.00741,0.00208,2.52128,3.89646,0.0614,0.000407092,0.000407092,0.000407092
14,586.524,2.35687,4.33006,0.03941,0.00366,0.27811,0.00827,0.00229,2.46659,3.84962,0.05976,0.000406266,0.000406266,0.000406266
15,624.395,2.32333,4.30719,0.03868,0.78723,0.03395,0.01138,0.00332,2.45696,3.79935,0.05937,0.000405441,0.000405441,0.000405441
16,662.52,2.28236,4.23341,0.03725,0.00915,0.34316,0.01613,0.00491,2.36362,3.76932,0.05618,0.000404615,0.000404615,0.000404615
17,700.974,2.22951,4.17581,0.03607,0.76684,0.04687,0.01547,0.00454,2.33297,3.75658,0.05577,0.000403789,0.000403789,0.000403789
18,739.159,2.2089,4.1458,0.0361,0.78661,0.01266,0.01345,0.00403,2.34044,3.81225,0.05598,0.000402964,0.000402964,0.000402964
19,777.559,2.20941,4.14303,0.0364,0.76978,0.05579,0.01596,0.00463,2.27941,3.80466,0.05514,0.000402138,0.000402138,0.000402138
20,815.771,2.18004,4.11741,0.03551,0.80065,0.02173,0.02339,0.00682,2.22854,3.70571,0.05242,0.000401312,0.000401312,0.000401312
21,854.057,2.15632,4.06552,0.03549,0.68929,0.06652,0.0208,0.00677,2.3063,3.66241,0.05448,0.000400487,0.000400487,0.000400487
22,892.373,2.10733,3.99606,0.03432,0.7961,0.02112,0.02515,0.00859,2.22533,3.67197,0.05238,0.000399661,0.000399661,0.000399661
23,930.491,2.10939,3.98542,0.03474,0.79853,0.02352,0.02953,0.01045,2.15609,3.64126,0.05039,0.000398835,0.000398835,0.000398835
24,968.527,2.07469,3.96149,0.03284,0.75533,0.03193,0.02859,0.00946,2.14774,3.72756,0.04981,0.00039801,0.00039801,0.00039801
25,1006.99,2.05108,3.93697,0.0324,0.78843,0.02533,0.02857,0.00938,2.17289,3.63279,0.05081,0.000397184,0.000397184,0.000397184
26,1045.47,2.04081,3.89255,0.03235,0.75117,0.03654,0.03327,0.01118,2.09319,3.59027,0.04848,0.000396358,0.000396358,0.000396358
27,1083.88,2.03245,3.85516,0.03367,0.75429,0.03009,0.03236,0.01099,2.1747,3.58369,0.05096,0.000395533,0.000395533,0.000395533
28,1121.94,2.01691,3.81303,0.03218,0.75473,0.0364,0.03714,0.01312,2.0897,3.57981,0.04834,0.000394707,0.000394707,0.000394707
29,1160.22,1.9828,3.76599,0.03144,0.70158,0.04547,0.03482,0.01248,2.12189,3.55189,0.04936,0.000393882,0.000393882,0.000393882
30,1198.75,1.95989,3.76054,0.03063,0.7455,0.06749,0.0396,0.01396,2.02232,3.63293,0.04651,0.000393056,0.000393056,0.000393056
31,1236.94,1.96088,3.73149,0.03128,0.69392,0.05557,0.04323,0.01486,2.06199,3.58651,0.04762,0.00039223,0.00039223,0.00039223
32,1275.45,1.94988,3.77015,0.03098,0.63542,0.05229,0.04079,0.01405,2.12749,3.46441,0.04964,0.000391405,0.000391405,0.000391405
33,1313.13,1.93815,3.70457,0.03047,0.69102,0.05835,0.04828,0.01779,2.02206,3.52802,0.04622,0.000390579,0.000390579,0.000390579
34,1351.06,1.95264,3.70921,0.0311,0.63659,0.05284,0.0473,0.01761,2.02508,3.46752,0.04666,0.000389753,0.000389753,0.000389753
35,1389.63,1.91753,3.65887,0.03079,0.60772,0.07025,0.05249,0.01933,2.05214,3.44606,0.04746,0.000388928,0.000388928,0.000388928
36,1427.45,1.89752,3.61586,0.02908,0.58013,0.06731,0.04255,0.01594,2.09086,3.48877,0.04795,0.000388102,0.000388102,0.000388102
37,1465.77,1.91388,3.65249,0.03006,0.63559,0.06778,0.05213,0.01973,2.01925,3.49198,0.04684,0.000387276,0.000387276,0.000387276
38,1504.05,1.88551,3.61662,0.02911,0.58875,0.07824,0.05364,0.02103,2.06395,3.44968,0.04766,0.000386451,0.000386451,0.000386451
