epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,640.406,3.39008,8.01617,0.05288,0.00135,0.15571,0.00101,0.00027,2.98982,4.04251,0.07577,0.00999,0.00333,0.00999,0.00333,0.00999,0.00333,0.00999,0.00333
2,1109.01,2.14208,4.41445,0.03037,0.11817,0.03533,0.0152,0.00531,2.48163,3.9705,0.05975,0.0199504,0.00665014,0.0199504,0.00665014,0.0199504,0.00665014,0.0199504,0.00665014
3,1548.35,1.73793,2.70454,0.02319,0.13258,0.11449,0.04511,0.01757,2.29221,4.04502,0.05493,0.0298712,0.00995708,0.0298712,0.00995708,0.0298712,0.00995708,0.0298712,0.00995708
4,1984.15,1.5556,2.20371,0.02004,0.18525,0.14207,0.07564,0.0312,2.17098,3.66971,0.05192,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,2412.3,1.39411,1.88087,0.01756,0.24169,0.17536,0.12791,0.06122,2.07171,3.33318,0.0487,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2821.34,1.30356,1.69568,0.01605,0.27282,0.19634,0.15599,0.07789,1.99821,3.24831,0.04627,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,3250.68,1.23958,1.57127,0.01513,0.31025,0.2127,0.16931,0.08659,1.90571,3.12175,0.04408,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,3685.54,1.18834,1.47131,0.01455,0.31884,0.22818,0.19108,0.0979,1.89693,3.039,0.04326,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,4116.74,1.14821,1.41955,0.01378,0.32353,0.24725,0.2124,0.11272,1.82175,2.94944,0.0412,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,4525.64,1.11284,1.37706,0.01334,0.36827,0.25768,0.23045,0.12652,1.7962,2.87726,0.0407,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,4961.43,1.09318,1.32378,0.01291,0.39644,0.2609,0.23881,0.13253,1.75282,2.83393,0.03936,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,5396.61,1.05772,1.27168,0.01244,0.36311,0.26493,0.2391,0.1349,1.73254,2.74711,0.03863,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,5822.1,1.04354,1.2409,0.0122,0.37458,0.27528,0.25712,0.14775,1.69959,2.72512,0.03754,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,6235.19,1.02281,1.20429,0.01206,0.37989,0.29065,0.26935,0.15383,1.71062,2.6388,0.03788,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
