epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,640.406,3.39008,8.01617,0.05288,0.00135,0.15571,0.00101,0.00027,2.98982,4.04251,0.07577,0.00999,0.00333,0.00999,0.00333,0.00999,0.00333,0.00999,0.00333
2,1109.01,2.14208,4.41445,0.03037,0.11817,0.03533,0.0152,0.00531,2.48163,3.9705,0.05975,0.0199504,0.00665014,0.0199504,0.00665014,0.0199504,0.00665014,0.0199504,0.00665014
3,1548.35,1.73793,2.70454,0.02319,0.13258,0.11449,0.04511,0.01757,2.29221,4.04502,0.05493,0.0298712,0.00995708,0.0298712,0.00995708,0.0298712,0.00995708,0.0298712,0.00995708
4,1984.15,1.5556,2.20371,0.02004,0.18525,0.14207,0.07564,0.0312,2.17098,3.66971,0.05192,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,2412.3,1.39411,1.88087,0.01756,0.24169,0.17536,0.12791,0.06122,2.07171,3.33318,0.0487,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2821.34,1.30356,1.69568,0.01605,0.27282,0.19634,0.15599,0.07789,1.99821,3.24831,0.04627,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,3250.68,1.23958,1.57127,0.01513,0.31025,0.2127,0.16931,0.08659,1.90571,3.12175,0.04408,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,3685.54,1.18834,1.47131,0.01455,0.31884,0.22818,0.19108,0.0979,1.89693,3.039,0.04326,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,4116.74,1.14821,1.41955,0.01378,0.32353,0.24725,0.2124,0.11272,1.82175,2.94944,0.0412,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,4525.64,1.11284,1.37706,0.01334,0.36827,0.25768,0.23045,0.12652,1.7962,2.87726,0.0407,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,4961.43,1.09318,1.32378,0.01291,0.39644,0.2609,0.23881,0.13253,1.75282,2.83393,0.03936,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,5396.61,1.05772,1.27168,0.01244,0.36311,0.26493,0.2391,0.1349,1.73254,2.74711,0.03863,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,5822.1,1.04354,1.2409,0.0122,0.37458,0.27528,0.25712,0.14775,1.69959,2.72512,0.03754,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,6235.19,1.02281,1.20429,0.01206,0.37989,0.29065,0.26935,0.15383,1.71062,2.6388,0.03788,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,6671.52,1.00725,1.1698,0.01174,0.41939,0.29519,0.28695,0.1663,1.68343,2.57549,0.03697,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,7109.13,1.00035,1.14754,0.01151,0.4281,0.29725,0.28328,0.16374,1.67879,2.60041,0.03697,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,7531.31,0.9874,1.12017,0.01145,0.43034,0.30973,0.30085,0.17826,1.66373,2.52062,0.03655,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,7946.89,0.97257,1.09645,0.01112,0.45789,0.30271,0.30456,0.1805,1.66109,2.51104,0.03633,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,8383.52,0.96841,1.10083,0.01118,0.45401,0.32629,0.31848,0.19123,1.60238,2.5028,0.03467,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,8820.6,0.95224,1.07214,0.01093,0.4588,0.32089,0.31982,0.19056,1.62353,2.45046,0.03549,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,9239.05,0.94644,1.05877,0.01083,0.47949,0.32759,0.32958,0.19623,1.60202,2.40215,0.03481,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,9658.23,0.93924,1.04429,0.01069,0.47542,0.33025,0.33691,0.20504,1.60192,2.39605,0.03472,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,10095.8,0.9246,1.02588,0.01059,0.46601,0.35125,0.3492,0.20978,1.59214,2.33436,0.03445,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,10532.5,0.90814,1.00723,0.01057,0.48127,0.35622,0.35669,0.21931,1.57084,2.35164,0.03383,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,10948.6,0.91147,0.99112,0.01042,0.48282,0.35827,0.35856,0.22001,1.56956,2.32083,0.03393,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,11372.8,0.90843,0.99179,0.01032,0.48791,0.36387,0.36596,0.22522,1.57151,2.30322,0.03394,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,11808.5,0.89715,0.99287,0.01024,0.48842,0.36028,0.36343,0.22418,1.52534,2.29921,0.03253,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,12246.3,0.89417,0.98237,0.01021,0.49497,0.36459,0.36483,0.22524,1.52815,2.2645,0.03256,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,12657.5,0.87851,0.95837,0.00998,0.50347,0.36832,0.37494,0.23452,1.51247,2.24738,0.03215,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,13082.7,0.88272,0.95425,0.01001,0.50063,0.37277,0.38148,0.23828,1.52667,2.21014,0.03259,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,13518.1,0.87098,0.93319,0.01002,0.48983,0.38604,0.38341,0.24091,1.51725,2.21044,0.03219,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,13952.5,0.87331,0.93543,0.00982,0.49738,0.388,0.39176,0.24785,1.50508,2.22659,0.03207,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,14365.3,0.87609,0.93554,0.00984,0.51734,0.38731,0.40149,0.25466,1.48935,2.19822,0.03155,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,14796.6,0.8632,0.9356,0.00972,0.51648,0.38637,0.39715,0.25394,1.48891,2.17163,0.03157,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,15232.7,0.86836,0.92954,0.00975,0.52842,0.38519,0.40637,0.25848,1.48255,2.15196,0.03144,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,15661.5,0.84856,0.91549,0.00952,0.51416,0.39887,0.40903,0.2624,1.47425,2.1528,0.03102,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
