epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,225.098,3.58289,8.48041,0.0567,0.00042,0.01704,0.00035,6e-05,3.74516,4.52608,0.08994,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444
2,357.991,3.03741,6.76365,0.04788,0.00195,0.16501,0.00144,0.0004,2.77549,4.38319,0.06887,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446
3,477.742,2.23311,4.37179,0.03225,0.08249,0.02461,0.00852,0.00291,2.52183,4.18649,0.06134,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155
4,593.704,1.95407,3.41768,0.02781,0.10762,0.07694,0.01983,0.00692,2.34053,4.24418,0.05561,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,709.474,1.78063,2.97929,0.02451,0.11239,0.09223,0.0418,0.01666,2.18148,3.89219,0.05173,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,825.312,1.68852,2.6605,0.02305,0.15486,0.11833,0.06924,0.02836,2.14719,3.56383,0.05064,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,941.11,1.6059,2.47792,0.02137,0.19363,0.15297,0.09617,0.04087,2.0793,3.48709,0.0484,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1057.21,1.53206,2.32546,0.02029,0.20118,0.17718,0.10762,0.048,2.00356,3.24805,0.04639,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1172.85,1.47999,2.19336,0.01964,0.23655,0.1865,0.12106,0.05361,2.00775,3.20995,0.04701,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1287.93,1.44082,2.09134,0.01869,0.25405,0.20046,0.14574,0.06506,2.00633,3.11166,0.04697,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1403.81,1.41335,2.00755,0.01828,0.23675,0.19453,0.14253,0.06615,1.96362,3.00914,0.04504,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,1519.34,1.3846,1.94004,0.01768,0.27625,0.21268,0.1653,0.07919,1.96591,3.03665,0.04561,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,1635.03,1.34632,1.87688,0.01717,0.30095,0.22068,0.17769,0.08637,1.88146,2.94549,0.04302,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,1750.55,1.32733,1.82823,0.01687,0.28212,0.21286,0.17165,0.08654,1.90042,2.9713,0.04316,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,1866.04,1.30869,1.78985,0.01678,0.30317,0.23491,0.19448,0.09738,1.83042,2.82339,0.04093,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,1981.9,1.27742,1.73567,0.01599,0.32133,0.23994,0.2009,0.10227,1.82192,2.80374,0.04088,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,2098.12,1.2688,1.69967,0.01605,0.33347,0.24821,0.21139,0.10696,1.7994,2.85,0.04056,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
