epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.414,3.82207,7.94871,0.06757,0,0,0,0,3.92776,3.99387,0.09053,0.000137888,0.000137888,0.000137888
2,337.529,3.63379,6.50745,0.06433,0.00042,0.01246,0.00025,4e-05,nan,nan,nan,0.00027634,0.00027634,0.00027634
3,479.251,3.27734,5.16956,0.0583,0.00084,0.03352,0.00047,0.00013,nan,nan,nan,0.000414241,0.000414241,0.000414241
4,621.461,3.01267,4.80048,0.05489,0.00137,0.09262,0.00153,0.0003,3.11124,4.31073,0.07959,0.000414523,0.000414523,0.000414523
5,764.435,2.91357,4.66142,0.05163,0.00181,0.13202,0.00318,0.00088,2.90104,4.19941,0.07461,0.000413697,0.000413697,0.000413697
6,909.065,2.79152,4.60904,0.05026,0.00207,0.14901,0.00227,0.00059,2.77834,4.19445,0.06974,0.000412872,0.000412872,0.000412872
7,1054.93,2.72761,4.59685,0.04897,0.00186,0.14961,0.00224,0.00051,2.84056,4.1103,0.07248,0.000412046,0.000412046,0.000412046
8,1201.15,2.70266,4.5666,0.04737,0.00206,0.17306,0.00317,0.0008,2.73144,4.17165,0.06826,0.00041122,0.00041122,0.00041122
9,1345.68,2.67098,4.53688,0.04666,0.00222,0.16972,0.00281,0.00074,2.73257,nan,0.06857,0.000410395,0.000410395,0.000410395
10,1490.06,2.58173,4.5212,0.04506,0.00182,0.1838,0.00283,0.00072,nan,nan,nan,0.000409569,0.000409569,0.000409569
11,1634.6,2.51588,4.43859,0.04364,0.0035,0.21504,0.00547,0.00144,nan,nan,nan,0.000408743,0.000408743,0.000408743
12,1779.01,2.47282,4.4497,0.04196,0.00392,0.22938,0.00533,0.00143,nan,nan,nan,0.000407918,0.000407918,0.000407918
13,1923.71,2.39577,4.34664,0.04107,0.00423,0.25925,0.00701,0.0018,nan,nan,nan,0.000407092,0.000407092,0.000407092
14,2069.13,2.33216,4.36848,0.03872,0.00376,0.26904,0.0056,0.00164,nan,nan,nan,0.000406266,0.000406266,0.000406266
15,2214.47,2.28036,4.29685,0.03782,0.00502,0.34967,0.00929,0.0028,nan,nan,nan,0.000405441,0.000405441,0.000405441
16,2360.03,2.26073,4.21921,0.03603,0.00432,0.33523,0.01158,0.00355,nan,nan,nan,0.000404615,0.000404615,0.000404615
17,2506.01,2.20911,4.13757,0.03619,0.0051,0.38869,0.01199,0.00367,2.24448,3.89436,0.05282,0.000403789,0.000403789,0.000403789
18,2651.72,2.1341,4.11121,0.03433,0.00531,0.42581,0.01594,0.00523,2.13718,3.89373,0.04889,0.000402964,0.000402964,0.000402964
19,2797.84,2.12155,4.11258,0.03424,0.67463,0.03141,0.0156,0.00522,2.16005,3.87437,0.05032,0.000402138,0.000402138,0.000402138
20,2943.61,2.06218,4.07678,0.03391,0.00518,0.42984,0.01802,0.00599,2.10682,nan,0.04848,0.000401312,0.000401312,0.000401312
21,3088.88,2.07028,4.03875,0.03214,0.5248,0.04202,0.01865,0.00642,nan,nan,nan,0.000400487,0.000400487,0.000400487
22,3235.17,2.02089,3.97115,0.0324,0.23863,0.14598,0.01949,0.00654,nan,nan,nan,0.000399661,0.000399661,0.000399661
23,3380.99,1.98162,3.96771,0.03109,0.64489,0.03329,0.02511,0.00871,nan,nan,nan,0.000398835,0.000398835,0.000398835
24,3526.43,1.96203,3.84247,0.03094,0.5531,0.03135,0.02185,0.0076,2.15235,3.72473,0.04906,0.00039801,0.00039801,0.00039801
25,3672.33,1.97064,3.86606,0.03088,0.59897,0.02743,0.02614,0.00956,2.07576,3.7351,0.04791,0.000397184,0.000397184,0.000397184
26,3818.48,1.98137,3.82907,0.03031,0.66173,0.03501,0.03117,0.0108,nan,nan,nan,0.000396358,0.000396358,0.000396358
27,3964.56,1.92565,3.77294,0.0312,0.55391,0.04316,0.02981,0.01097,nan,nan,nan,0.000395533,0.000395533,0.000395533
28,4110.55,1.92278,3.71453,0.03069,0.51524,0.03034,0.02421,0.00893,nan,nan,nan,0.000394707,0.000394707,0.000394707
29,4256.56,1.90167,3.71661,0.02947,0.57047,0.04825,0.03498,0.0134,2.00296,3.56147,0.04531,0.000393882,0.000393882,0.000393882
30,4402.46,1.88348,3.65914,0.0294,0.48573,0.04091,0.03879,0.01417,2.00959,3.46787,0.04551,0.000393056,0.000393056,0.000393056
31,4548.24,1.89039,3.63441,0.02911,0.60142,0.04453,0.04279,0.01651,nan,nan,nan,0.00039223,0.00039223,0.00039223
32,4694.14,1.88197,3.58457,0.02981,0.42796,0.04227,0.04251,0.01563,nan,nan,nan,0.000391405,0.000391405,0.000391405
33,4839.4,1.8508,3.51876,0.02904,0.41927,0.05546,0.0432,0.01632,nan,nan,nan,0.000390579,0.000390579,0.000390579
34,4985.33,1.85348,3.5609,0.02916,0.39647,0.06684,0.04818,0.01784,nan,nan,nan,0.000389753,0.000389753,0.000389753
35,5131.22,1.87172,3.508,0.02898,0.41705,0.0592,0.05792,0.0234,nan,nan,nan,0.000388928,0.000388928,0.000388928
36,5276.94,1.83392,3.47022,0.02844,0.31121,0.06861,0.05472,0.02166,nan,nan,nan,0.000388102,0.000388102,0.000388102
37,5422.46,1.83067,3.41318,0.02803,0.34281,0.07712,0.05571,0.02378,nan,nan,nan,0.000387276,0.000387276,0.000387276
38,5568.65,1.8021,3.38551,0.02721,0.27248,0.07566,0.05709,0.02334,nan,nan,nan,0.000386451,0.000386451,0.000386451
39,5714.15,1.82651,3.41188,0.02901,0.28578,0.08795,0.06234,0.02562,nan,nan,nan,0.000385625,0.000385625,0.000385625
40,5860.56,1.83887,3.37678,0.02818,0.3423,0.09536,0.06201,0.02448,nan,nan,nan,0.000384799,0.000384799,0.000384799
41,6006.31,1.80375,3.36332,0.02714,0.21074,0.0932,0.07193,0.03006,1.89596,3.27952,0.04231,0.000383974,0.000383974,0.000383974
42,6151.95,1.77285,3.28261,0.02699,0.20565,0.10133,0.07059,0.02889,nan,nan,nan,0.000383148,0.000383148,0.000383148
43,6297.87,1.77485,3.28509,0.02743,0.23971,0.09367,0.07082,0.02894,1.94007,3.21997,0.0434,0.000382322,0.000382322,0.000382322
44,6443.47,1.77655,3.20298,0.02686,0.18146,0.11951,0.07904,0.0338,1.91796,3.22719,0.04279,0.000381497,0.000381497,0.000381497
45,6589.49,1.78624,3.23543,0.02748,0.2259,0.11663,0.08146,0.03544,nan,nan,nan,0.000380671,0.000380671,0.000380671
46,6735.73,1.75028,3.1982,0.02658,0.17041,0.12917,0.07893,0.03352,1.90518,3.19989,0.04249,0.000379845,0.000379845,0.000379845
47,6881.55,1.7584,3.21525,0.02704,0.18902,0.13789,0.08577,0.03763,nan,nan,nan,0.00037902,0.00037902,0.00037902
