epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,372.169,3.6615,8.5301,0.0577,0.00031,0.01274,0.00019,4e-05,3.80385,5.57633,0.08927,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444
2,653.503,3.03262,6.52212,0.04752,0.00253,0.24323,0.00302,0.00096,2.83116,4.1594,0.07034,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446
3,918.298,2.12462,3.95481,0.03017,0.08313,0.03928,0.01894,0.00656,2.14328,4.13204,0.0505,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155
4,1221.7,1.8096,3.04032,0.0251,0.11183,0.07985,0.04049,0.01637,2.177,3.81549,0.05126,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1562.08,1.63071,2.57468,0.02185,0.15958,0.12262,0.07075,0.02965,1.98312,3.48174,0.04563,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1878.94,1.50438,2.24958,0.01986,0.19039,0.1546,0.09902,0.04484,2.08589,3.20337,0.04882,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2217.29,1.4181,2.0791,0.01835,0.24813,0.19717,0.14057,0.06794,1.85578,3.10076,0.04244,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,2565.18,1.34501,1.91773,0.01722,0.26263,0.22029,0.15286,0.07563,1.86889,2.98596,0.0428,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,2903.56,1.28611,1.79156,0.01654,0.3062,0.22858,0.18532,0.09437,1.82216,2.88719,0.04125,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,3241.46,1.25434,1.70008,0.0157,0.31044,0.24542,0.20692,0.10903,1.76425,2.86406,0.04028,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,3580.15,1.22837,1.62798,0.01542,0.31874,0.27864,0.23306,0.1256,1.74057,2.66315,0.0389,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
