epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,609.953,0.81817,2.32468,0.01057,0.75819,0.70193,0.77933,0.61773,0.75924,0.87305,0.01318,0.00998601,0.00332867,0.00998601,0.00332867,0.00998601,0.00332867,0.00998601,0.00332867
2,1021.51,0.92583,1.33355,0.01228,0.68567,0.60013,0.66023,0.48702,0.95272,1.19451,0.01802,0.0199464,0.00664881,0.0199464,0.00664881,0.0199464,0.00664881,0.0199464,0.00664881
3,1413.23,1.10734,1.6151,0.0157,0.58644,0.50199,0.53697,0.352,1.2163,1.58412,0.02526,0.0298673,0.00995576,0.0298673,0.00995576,0.0298673,0.00995576,0.0298673,0.00995576
4,1794.82,1.26818,1.90051,0.01815,0.57267,0.47552,0.49757,0.31704,1.29111,1.66415,0.02706,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,2173.13,1.27166,1.86458,0.01836,0.60625,0.49367,0.53161,0.34293,1.29228,1.56461,0.02654,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,2556.4,1.26664,1.80021,0.01806,0.64114,0.51065,0.56286,0.37177,1.25849,1.50499,0.02536,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,2931.33,1.23607,1.73769,0.01738,0.6351,0.52083,0.55328,0.3609,1.24465,1.50667,0.02525,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,3319.51,1.22591,1.69489,0.01729,0.64921,0.55149,0.59985,0.40621,1.19693,1.41592,0.02403,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,3698.81,1.20267,1.63541,0.01671,0.65895,0.55241,0.60117,0.40907,1.19227,1.40721,0.02355,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,4079.02,1.19568,1.62519,0.01668,0.68379,0.5681,0.62719,0.42128,1.22243,1.35274,0.02477,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,4459.84,1.17597,1.57483,0.01631,0.68909,0.57928,0.63176,0.42789,1.20585,1.33964,0.02422,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,4836.09,1.17146,1.52118,0.01629,0.67255,0.57635,0.62631,0.42536,1.18281,1.33113,0.02335,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,5225.01,1.1603,1.49367,0.01583,0.68125,0.58343,0.63363,0.43764,1.17956,1.33517,0.02342,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,5599.16,1.13727,1.47808,0.01544,0.6765,0.5856,0.63694,0.44348,1.15259,1.33215,0.0228,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,5980.16,1.12353,1.4212,0.01524,0.69427,0.59256,0.64676,0.45178,1.14755,1.29541,0.02258,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,6355.53,1.11765,1.42194,0.01551,0.7011,0.58782,0.65043,0.45458,1.14418,1.26948,0.02245,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,6735.82,1.11399,1.39231,0.0151,0.71429,0.59464,0.65935,0.46205,1.1556,1.24947,0.02252,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,7119.31,1.10484,1.35498,0.01499,0.72627,0.60852,0.67656,0.48401,1.10063,1.20618,0.02102,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,7494.55,1.07861,1.32455,0.01451,0.71145,0.62183,0.67227,0.48152,1.08985,1.23171,0.02078,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,7881.55,1.08021,1.3277,0.0147,0.7138,0.61792,0.67587,0.48411,1.09229,1.23046,0.02087,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,8253.79,1.07796,1.29886,0.01464,0.72729,0.61219,0.6766,0.48431,1.09846,1.21269,0.02089,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
