epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.82,0.80393,4.85616,0.01029,0.35958,0.28537,0.25357,0.19642,0.76064,2.12016,0.01369,0.000136794,0.000136794,0.000136794
2,210.502,0.93112,2.9721,0.0123,0.55656,0.44954,0.47627,0.34753,0.92242,1.74998,0.01744,0.000275248,0.000275248,0.000275248
3,289.757,0.9792,2.24209,0.01316,0.55747,0.44251,0.4515,0.31065,1.06902,1.76446,0.02192,0.000413151,0.000413151,0.000413151
4,369.033,1.04898,2.0409,0.01477,0.57911,0.47062,0.50109,0.33246,1.144,1.68755,0.02351,0.000414523,0.000414523,0.000414523
5,448.372,1.07357,1.80356,0.0143,0.5787,0.51368,0.53381,0.36172,1.1249,1.58339,0.02286,0.000413697,0.000413697,0.000413697
6,527.584,1.06581,1.68202,0.01476,0.56533,0.47908,0.49155,0.33054,1.1559,1.73131,0.02339,0.000412872,0.000412872,0.000412872
7,607.138,1.07188,1.55957,0.01475,0.58581,0.48509,0.51766,0.35107,1.13269,1.61157,0.02322,0.000412046,0.000412046,0.000412046
8,686.172,1.049,1.4738,0.01471,0.60684,0.49978,0.52632,0.3565,1.16802,1.64186,0.02377,0.00041122,0.00041122,0.00041122
9,765.379,1.03649,1.41603,0.01452,0.61301,0.53053,0.54609,0.36607,1.18825,1.57074,0.02435,0.000410395,0.000410395,0.000410395
10,844.388,1.02804,1.39465,0.01402,0.59805,0.50731,0.52471,0.35688,1.13893,1.64605,0.02295,0.000409569,0.000409569,0.000409569
11,923.774,1.02626,1.36748,0.01453,0.64826,0.52107,0.56876,0.3816,1.17484,1.53644,0.02427,0.000408743,0.000408743,0.000408743
12,1002.65,1.02108,1.28946,0.01396,0.59676,0.5032,0.52781,0.35185,1.20455,1.6116,0.02531,0.000407918,0.000407918,0.000407918
13,1081.85,0.99082,1.24509,0.01344,0.63398,0.52139,0.55756,0.37,1.18238,1.59243,0.02422,0.000407092,0.000407092,0.000407092
14,1161.01,0.97677,1.23594,0.01324,0.62929,0.52088,0.54838,0.37011,1.16141,1.54223,0.02351,0.000406266,0.000406266,0.000406266
15,1240.13,1.01501,1.22264,0.0142,0.61918,0.48936,0.52303,0.34369,1.23827,1.63179,0.0257,0.000405441,0.000405441,0.000405441
16,1318.72,0.98898,1.18929,0.01348,0.63448,0.5404,0.5704,0.3847,1.16499,1.52946,0.0237,0.000404615,0.000404615,0.000404615
17,1397.68,0.96079,1.09805,0.01298,0.65211,0.51757,0.55906,0.37896,1.17824,1.59016,0.02379,0.000403789,0.000403789,0.000403789
18,1476.69,0.96961,1.10525,0.01359,0.6554,0.5596,0.59706,0.41168,1.14944,1.48533,0.02302,0.000402964,0.000402964,0.000402964
19,1555.78,0.98703,1.10856,0.01374,0.66127,0.55102,0.59002,0.40604,1.15289,1.50852,0.02308,0.000402138,0.000402138,0.000402138
20,1634.57,0.93492,1.06637,0.01281,0.64428,0.5361,0.57552,0.39263,1.15287,1.52145,0.02345,0.000401312,0.000401312,0.000401312
21,1713.3,0.93484,1.05915,0.01299,0.63322,0.53373,0.568,0.3876,1.17482,1.53279,0.02391,0.000400487,0.000400487,0.000400487
22,1791.91,0.92018,1.03776,0.01269,0.64959,0.5475,0.57688,0.38842,1.17544,1.47708,0.02389,0.000399661,0.000399661,0.000399661
23,1870.78,0.91246,1.05256,0.01288,0.64342,0.5272,0.56818,0.39327,1.15458,1.5792,0.02329,0.000398835,0.000398835,0.000398835
24,1949.72,0.92807,1.02174,0.01236,0.67184,0.52067,0.57348,0.39782,1.16386,1.61506,0.02316,0.00039801,0.00039801,0.00039801
25,2028.24,0.90335,0.95761,0.01227,0.64223,0.53299,0.56006,0.37443,1.21513,1.58146,0.02476,0.000397184,0.000397184,0.000397184
26,2107.02,0.91335,0.9869,0.01244,0.65448,0.53478,0.57679,0.3989,1.16117,1.57742,0.02332,0.000396358,0.000396358,0.000396358
27,2185.81,0.88918,0.98061,0.0128,0.65376,0.53649,0.58112,0.40701,1.14607,1.56745,0.02289,0.000395533,0.000395533,0.000395533
28,2264.36,0.90598,0.96361,0.01252,0.66546,0.54799,0.5883,0.40661,1.16298,1.49682,0.02349,0.000394707,0.000394707,0.000394707
29,2343.1,0.88959,0.90806,0.01234,0.68136,0.56604,0.61343,0.42023,1.1877,1.47224,0.024,0.000393882,0.000393882,0.000393882
30,2421.88,0.85866,0.83524,0.01156,0.65619,0.5556,0.59385,0.40861,1.15824,1.50853,0.0231,0.000393056,0.000393056,0.000393056
31,2500.68,0.87513,0.88674,0.01202,0.68736,0.54759,0.60504,0.42734,1.1439,1.50549,0.02253,0.00039223,0.00039223,0.00039223
32,2579.76,0.86526,0.86483,0.01185,0.69027,0.55567,0.60631,0.42208,1.14714,1.46617,0.02271,0.000391405,0.000391405,0.000391405
33,2658.67,0.87265,0.88745,0.01189,0.67468,0.55018,0.58835,0.40323,1.17665,1.55034,0.02344,0.000390579,0.000390579,0.000390579
34,2737.45,0.84889,0.87635,0.0117,0.65449,0.53879,0.5722,0.40219,1.16505,1.56981,0.02341,0.000389753,0.000389753,0.000389753
35,2816.36,0.83295,0.81243,0.01152,0.67912,0.54051,0.59707,0.41621,1.15879,1.5423,0.0231,0.000388928,0.000388928,0.000388928
36,2895,0.8504,0.7941,0.01119,0.67303,0.55736,0.59813,0.41813,1.15258,1.54073,0.02319,0.000388102,0.000388102,0.000388102
37,2973.69,0.83819,0.81858,0.01139,0.65743,0.52751,0.56736,0.39027,1.19157,1.72251,0.02398,0.000387276,0.000387276,0.000387276
38,3052.63,0.83735,0.80386,0.0114,0.6419,0.54293,0.57337,0.39596,1.18351,1.53664,0.02372,0.000386451,0.000386451,0.000386451
39,3131.39,0.81365,0.80051,0.01117,0.68075,0.54377,0.59387,0.41605,1.16909,1.62314,0.02329,0.000385625,0.000385625,0.000385625
40,3209.97,0.81894,0.80572,0.01116,0.67271,0.54757,0.58717,0.40598,1.15312,1.57826,0.02293,0.000384799,0.000384799,0.000384799
41,3288.6,0.82135,0.78546,0.01085,0.6784,0.55166,0.59304,0.41138,1.1737,1.59054,0.02355,0.000383974,0.000383974,0.000383974
42,3367.37,0.82058,0.77413,0.01099,0.67664,0.54848,0.59338,0.41259,1.16692,1.53462,0.02346,0.000383148,0.000383148,0.000383148
43,3445.95,0.82408,0.78705,0.01104,0.65609,0.55104,0.58507,0.40506,1.17974,1.59044,0.02378,0.000382322,0.000382322,0.000382322
44,3524.63,0.80761,0.75029,0.01117,0.6976,0.54363,0.59633,0.41609,1.16843,1.59664,0.02316,0.000381497,0.000381497,0.000381497
45,3603.13,0.79688,0.74066,0.01082,0.68107,0.53148,0.5698,0.39376,1.21423,1.7162,0.02477,0.000380671,0.000380671,0.000380671
46,3681.7,0.79086,0.75441,0.01076,0.69252,0.55797,0.6099,0.42994,1.17217,1.6058,0.02341,0.000379845,0.000379845,0.000379845
47,3760.42,0.7931,0.75434,0.01074,0.68482,0.54303,0.59128,0.41458,1.17413,1.55671,0.02326,0.00037902,0.00037902,0.00037902
48,3838.75,0.78872,0.75851,0.01057,0.67459,0.51974,0.57541,0.40501,1.17494,1.66028,0.02346,0.000378194,0.000378194,0.000378194
49,3917.71,0.7898,0.74163,0.01065,0.68785,0.5374,0.5946,0.41685,1.16798,1.57882,0.02341,0.000377368,0.000377368,0.000377368
50,3996.26,0.78232,0.71429,0.01026,0.68476,0.5539,0.60401,0.42575,1.15174,1.60192,0.02286,0.000376543,0.000376543,0.000376543
51,4074.84,0.78826,0.74816,0.01079,0.68321,0.53586,0.58772,0.41006,1.19023,1.61824,0.02388,0.000375717,0.000375717,0.000375717
52,4153.44,0.76748,0.71275,0.01051,0.65686,0.55338,0.58945,0.41363,1.17894,1.64423,0.02343,0.000374891,0.000374891,0.000374891
53,4232.31,0.76636,0.72368,0.01037,0.67739,0.54823,0.59121,0.40808,1.20467,1.62076,0.02425,0.000374066,0.000374066,0.000374066
54,4310.96,0.7659,0.71688,0.01071,0.65974,0.52688,0.55776,0.39127,1.1828,1.77832,0.02392,0.00037324,0.00037324,0.00037324
55,4389.27,0.74741,0.69522,0.01026,0.65443,0.56204,0.59125,0.41367,1.18827,1.61981,0.02375,0.000372414,0.000372414,0.000372414
56,4467.76,0.78431,0.71506,0.01048,0.67957,0.53741,0.58032,0.40558,1.19789,1.68278,0.02408,0.000371589,0.000371589,0.000371589
57,4546.46,0.75302,0.67295,0.01037,0.65161,0.55049,0.58194,0.40671,1.18456,1.65697,0.02371,0.000370763,0.000370763,0.000370763
58,4624.92,0.76373,0.6886,0.01012,0.66262,0.54852,0.58256,0.40092,1.20282,1.68183,0.02443,0.000369937,0.000369937,0.000369937
59,4703.86,0.73915,0.66299,0.00988,0.68074,0.56401,0.6004,0.42535,1.17189,1.5912,0.02317,0.000369112,0.000369112,0.000369112
60,4782.44,0.74774,0.69921,0.01005,0.69072,0.54582,0.59506,0.42058,1.16848,1.62754,0.02306,0.000368286,0.000368286,0.000368286
61,4861.01,0.72006,0.64922,0.00983,0.70005,0.54993,0.60578,0.42839,1.1633,1.59625,0.02295,0.00036746,0.00036746,0.00036746
62,4939.5,0.74081,0.64866,0.01016,0.70424,0.55337,0.60728,0.43081,1.16374,1.61673,0.02309,0.000366635,0.000366635,0.000366635
63,5018.09,0.71931,0.6188,0.00962,0.67782,0.55527,0.59465,0.42042,1.16878,1.62525,0.02332,0.000365809,0.000365809,0.000365809
64,5096.69,0.72043,0.65352,0.00985,0.68018,0.54142,0.59396,0.42537,1.14701,1.65623,0.02257,0.000364983,0.000364983,0.000364983
65,5175.18,0.72042,0.63964,0.0096,0.6828,0.5581,0.60264,0.42314,1.17073,1.56515,0.02339,0.000364158,0.000364158,0.000364158
66,5253.76,0.73679,0.64074,0.01004,0.6954,0.55613,0.61058,0.43671,1.16448,1.61242,0.02301,0.000363332,0.000363332,0.000363332
67,5332.63,0.7285,0.6413,0.0098,0.68171,0.55171,0.5959,0.41998,1.17447,1.63503,0.02327,0.000362506,0.000362506,0.000362506
68,5410.9,0.72778,0.6345,0.00967,0.66751,0.55533,0.58991,0.41129,1.18333,1.68109,0.02352,0.000361681,0.000361681,0.000361681
69,5489.52,0.71169,0.63453,0.00998,0.67526,0.54991,0.59378,0.4223,1.17461,1.70919,0.02344,0.000360855,0.000360855,0.000360855
70,5568.27,0.70057,0.60167,0.00923,0.67152,0.56047,0.60114,0.42575,1.18441,1.64851,0.02341,0.000360029,0.000360029,0.000360029
71,5646.92,0.69791,0.60835,0.00944,0.70382,0.55287,0.60662,0.42701,1.17752,1.60805,0.02354,0.000359204,0.000359204,0.000359204
72,5725.57,0.69234,0.58995,0.00946,0.69662,0.53692,0.59352,0.41736,1.18645,1.66585,0.02369,0.000358378,0.000358378,0.000358378
73,5803.97,0.68784,0.61044,0.00958,0.70655,0.54013,0.59748,0.42455,1.19633,1.692,0.02395,0.000357552,0.000357552,0.000357552
74,5882.26,0.69208,0.57914,0.00955,0.70844,0.55044,0.60943,0.42973,1.20967,1.65723,0.02439,0.000356727,0.000356727,0.000356727
75,5960.83,0.6933,0.57055,0.00931,0.67935,0.56665,0.60309,0.42799,1.19743,1.66275,0.0239,0.000355901,0.000355901,0.000355901
76,6039.28,0.67351,0.57683,0.00874,0.70704,0.54311,0.60254,0.42804,1.18259,1.61549,0.02343,0.000355076,0.000355076,0.000355076
77,6117.64,0.67414,0.58791,0.00874,0.68885,0.56411,0.60638,0.42708,1.19955,1.63605,0.02399,0.00035425,0.00035425,0.00035425
78,6196.08,0.67887,0.59009,0.00895,0.68535,0.53161,0.58489,0.40849,1.20354,1.75514,0.02405,0.000353424,0.000353424,0.000353424
79,6274.22,0.6791,0.58612,0.00895,0.69807,0.53872,0.58763,0.41603,1.1937,1.71392,0.02363,0.000352599,0.000352599,0.000352599
80,6352.43,0.68098,0.56698,0.00887,0.68851,0.54842,0.6027,0.42378,1.18953,1.73295,0.0236,0.000351773,0.000351773,0.000351773
81,6430.73,0.6694,0.56401,0.00878,0.70285,0.54522,0.60004,0.42388,1.2052,1.74585,0.02437,0.000350947,0.000350947,0.000350947
82,6509.13,0.67355,0.54375,0.0086,0.70282,0.53744,0.59647,0.42271,1.19295,1.70501,0.02386,0.000350122,0.000350122,0.000350122
83,6587.61,0.67853,0.55875,0.00918,0.70302,0.55806,0.61552,0.4355,1.18284,1.6568,0.02363,0.000349296,0.000349296,0.000349296
84,6665.99,0.68415,0.5923,0.00914,0.70246,0.55733,0.60998,0.43219,1.19898,1.68848,0.02386,0.00034847,0.00034847,0.00034847
85,6744.19,0.66775,0.56601,0.00876,0.6954,0.54785,0.60344,0.43071,1.18548,1.71832,0.02356,0.000347645,0.000347645,0.000347645
86,6822.57,0.65255,0.53236,0.00859,0.70264,0.54216,0.60095,0.42963,1.20039,1.76184,0.02396,0.000346819,0.000346819,0.000346819
87,6900.89,0.65954,0.56967,0.00908,0.71114,0.55416,0.60821,0.43579,1.18265,1.72418,0.02361,0.000345993,0.000345993,0.000345993
88,6979.33,0.65708,0.56995,0.00908,0.69079,0.54547,0.5969,0.42846,1.1882,1.77146,0.02399,0.000345168,0.000345168,0.000345168
89,7057.9,0.66195,0.55788,0.0089,0.68659,0.54714,0.598,0.42242,1.19639,1.68319,0.02406,0.000344342,0.000344342,0.000344342
90,7136.51,0.64601,0.53276,0.00862,0.68976,0.55784,0.60371,0.43088,1.19566,1.72677,0.02372,0.000343516,0.000343516,0.000343516
91,7214.76,0.65779,0.54199,0.00878,0.67888,0.54693,0.59231,0.41521,1.22507,1.76641,0.02485,0.000342691,0.000342691,0.000342691
92,7293.14,0.64678,0.54383,0.00845,0.69452,0.54197,0.59905,0.42685,1.19539,1.80103,0.02385,0.000341865,0.000341865,0.000341865
93,7371.37,0.63553,0.52665,0.00861,0.69471,0.52286,0.58208,0.41521,1.2096,1.83934,0.02426,0.000341039,0.000341039,0.000341039
94,7449.91,0.63731,0.52053,0.00816,0.7079,0.54036,0.60146,0.42632,1.21089,1.76659,0.02472,0.000340214,0.000340214,0.000340214
