epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,255.611,0.91928,4.45453,0.01135,0.52227,0.44392,0.46084,0.34604,0.90761,1.65619,0.01605,0.00997207,0.00332402,0.00997207,0.00332402,0.00997207,0.00332402,0.00997207,0.00332402
2,405.963,1.04086,3.15531,0.0135,0.55769,0.47091,0.49133,0.34092,1.09135,1.68032,0.0214,0.0199325,0.00664417,0.0199325,0.00664417,0.0199325,0.00664417,0.0199325,0.00664417
3,544.144,1.17313,2.65168,0.01635,0.48832,0.38299,0.37542,0.22903,1.34917,2.09679,0.02791,0.0298534,0.00995113,0.0298534,0.00995113,0.0298534,0.00995113,0.0298534,0.00995113
4,678.886,1.2961,2.45003,0.01811,0.47479,0.36663,0.3582,0.21284,1.42715,2.25008,0.03001,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,814.045,1.32064,2.26153,0.01828,0.51069,0.41533,0.41594,0.25007,1.41358,1.98986,0.02962,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,946.513,1.29532,2.12376,0.01816,0.55803,0.4384,0.45057,0.28386,1.37128,1.87047,0.02845,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1080,1.30839,2.06764,0.01843,0.57026,0.45794,0.47605,0.29943,1.33404,1.83924,0.02717,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1215.23,1.29628,1.99579,0.01816,0.5567,0.44752,0.46884,0.29965,1.36355,1.83789,0.02828,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1351.5,1.28739,1.94725,0.01782,0.50438,0.34083,0.34025,0.20631,1.4725,2.38847,0.03191,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,1484.24,1.27627,1.90932,0.01759,0.57343,0.47898,0.50589,0.32343,1.34147,1.67906,0.0274,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,1618.38,1.26277,1.85307,0.01727,0.58969,0.49783,0.52649,0.34081,1.32782,1.63182,0.02662,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,1753.36,1.26933,1.82229,0.01715,0.61785,0.52082,0.54998,0.361,1.29455,1.60177,0.026,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,1888.25,1.24146,1.80794,0.01674,0.58272,0.49529,0.51489,0.33863,1.2955,1.66547,0.02559,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,2020.74,1.23732,1.77954,0.01693,0.61388,0.49463,0.53593,0.35069,1.28764,1.65259,0.02594,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,2154.81,1.23705,1.72037,0.01676,0.65096,0.53654,0.57551,0.37978,1.279,1.5123,0.02591,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
