epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5087,3.78062,8.19756,0.0667,0,0,0,0,3.92426,3.98726,0.08848,0.000136794,0.000136794,0.000136794
2,67.6726,3.66001,7.57103,0.06268,0,0,0,0,3.91955,4.00061,0.08933,0.000275248,0.000275248,0.000275248
3,102.243,3.68196,7.28693,0.06372,0.00059,0.01064,0.00033,8e-05,3.75743,4.07356,0.09092,0.000413151,0.000413151,0.000413151
4,140.286,3.52297,6.83174,0.06247,0.00084,0.06241,0.00061,0.00014,3.4168,4.05447,0.08729,0.000414523,0.000414523,0.000414523
5,177.568,3.32154,6.12071,0.05752,0.00115,0.03728,0.0008,0.00016,3.40241,3.99388,0.08439,0.000413697,0.000413697,0.000413697
6,215.387,3.14997,5.66067,0.05594,0.001,0.0539,0.00078,0.00018,3.25638,3.95293,0.08171,0.000412872,0.000412872,0.000412872
7,253.812,3.01575,5.30019,0.0535,0.00854,0.07941,0.00482,0.001,3.10625,4.10508,0.07895,0.000412046,0.000412046,0.000412046
8,292.145,2.89946,5.03497,0.05085,0.00251,0.13241,0.00251,0.00056,2.88144,3.9228,0.07277,0.00041122,0.00041122,0.00041122
9,330.648,2.73904,4.85136,0.04817,0.00228,0.13941,0.00329,0.0008,2.823,3.96995,0.07105,0.000410395,0.000410395,0.000410395
10,370.143,2.66563,4.7389,0.04551,0.00391,0.20428,0.00557,0.0014,2.64538,3.89654,0.06558,0.000409569,0.000409569,0.000409569
11,408.817,2.56477,4.61662,0.04469,0.00279,0.21179,0.00502,0.00135,2.58218,3.87694,0.06311,0.000408743,0.000408743,0.000408743
12,448.274,2.51271,4.55703,0.04217,0.00326,0.24368,0.00627,0.00165,nan,nan,nan,0.000407918,0.000407918,0.000407918
13,487.298,2.38498,4.39179,0.04021,0.00312,0.28482,0.00741,0.00208,2.52128,3.89646,0.0614,0.000407092,0.000407092,0.000407092
14,526.098,2.35687,4.33006,0.03941,0.00366,0.27811,0.00827,0.00229,2.46659,3.84962,0.05976,0.000406266,0.000406266,0.000406266
15,565.327,2.32333,4.30719,0.03868,0.78723,0.03395,0.01138,0.00332,2.45696,3.79935,0.05937,0.000405441,0.000405441,0.000405441
