epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,310.196,0.77599,4.69715,0.00854,0.52975,0.42842,0.44629,0.32651,0.95489,1.80586,0.01711,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444
2,535.659,0.86573,3.00838,0.00995,0.52337,0.38696,0.39476,0.25977,1.25874,2.18462,0.02516,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446,0.0199338,0.0066446
3,714.52,0.9867,2.25553,0.01176,0.43243,0.28757,0.27517,0.16542,1.40933,2.65919,0.02965,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155,0.0298546,0.00995155
4,908.214,1.06676,1.90176,0.0132,0.38973,0.30051,0.27338,0.1484,1.56153,2.59199,0.03446,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,1127.09,1.07145,1.67981,0.013,0.42551,0.28502,0.25699,0.14364,1.60716,2.74637,0.03602,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,1333.04,1.04739,1.49748,0.01284,0.42492,0.29269,0.27963,0.16497,1.60413,2.76429,0.03598,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,1552.12,1.03663,1.40372,0.0125,0.45452,0.35334,0.33367,0.19475,1.49664,2.30639,0.03221,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,1777.95,1.02759,1.34755,0.0123,0.51024,0.38703,0.38876,0.23568,1.47607,2.19383,0.03159,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,1989.94,1.00714,1.30639,0.01227,0.45605,0.3539,0.34457,0.21091,1.47392,2.33258,0.03112,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,2216.33,1.00278,1.28365,0.01199,0.49574,0.37014,0.37429,0.22702,1.49541,2.14571,0.03174,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,2424.4,0.99525,1.24475,0.01188,0.46017,0.34125,0.3357,0.20338,1.51303,2.40129,0.03237,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,2646.6,0.99373,1.22983,0.01179,0.53039,0.38032,0.39402,0.24304,1.44847,2.20442,0.03021,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,2873.52,0.97921,1.20347,0.01163,0.54036,0.41027,0.43256,0.26893,1.45606,2.07301,0.03106,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,3090.77,0.97612,1.181,0.01152,0.48225,0.38442,0.37992,0.24079,1.43211,2.21897,0.02994,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,3316.31,0.96195,1.14449,0.01137,0.50675,0.40743,0.403,0.24462,1.47396,2.08588,0.03157,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,3521.4,0.94911,1.11328,0.01099,0.56106,0.42877,0.45401,0.28619,1.42911,1.94703,0.02984,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,3744.82,0.93985,1.11138,0.01111,0.57672,0.41419,0.43901,0.27398,1.43145,2.00408,0.03003,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,3970.93,0.93981,1.10363,0.01077,0.54836,0.41124,0.42719,0.27033,1.42075,2.03095,0.02961,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,4188.31,0.95095,1.08772,0.01085,0.5272,0.41489,0.42294,0.26338,1.46187,2.04731,0.03066,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,4412.29,0.90998,1.06555,0.0108,0.56603,0.40863,0.43798,0.28548,1.40826,2.02437,0.02953,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
