epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.623,0.84841,5.44142,0.01065,0.04755,0.06384,0.03628,0.02907,0.64347,3.72549,0.01002,0.000136794,0.000136794,0.000136794
2,154.977,0.91829,4.90022,0.01128,0.78456,0.06636,0.13013,0.09932,0.81682,2.7392,0.01363,0.000275248,0.000275248,0.000275248
3,194.226,0.94184,4.32745,0.01156,0.47267,0.263,0.24211,0.18263,0.92685,2.26616,0.01652,0.000413151,0.000413151,0.000413151
4,234.268,0.96682,3.93597,0.01252,0.45555,0.32409,0.32599,0.24309,0.95533,2.07118,0.01699,0.000414523,0.000414523,0.000414523
5,274.586,1.0017,3.58926,0.01216,0.4719,0.40165,0.39635,0.29199,0.95463,1.8542,0.01737,0.000413697,0.000413697,0.000413697
6,314.46,0.98823,3.3281,0.01249,0.46474,0.43373,0.41401,0.30153,0.95689,1.80672,0.01741,0.000412872,0.000412872,0.000412872
7,354.64,0.98748,3.1753,0.01264,0.47595,0.45776,0.44724,0.32325,0.99009,1.78275,0.01844,0.000412046,0.000412046,0.000412046
8,394.708,0.98654,2.96808,0.01277,0.51208,0.45992,0.46442,0.33548,0.98631,1.74447,0.01804,0.00041122,0.00041122,0.00041122
9,433.865,0.97114,2.84386,0.01281,0.53516,0.48348,0.49026,0.35707,0.9855,1.63675,0.0181,0.000410395,0.000410395,0.000410395
10,472.989,0.97064,2.76637,0.01223,0.5198,0.48249,0.48487,0.35138,0.9916,1.65073,0.01834,0.000409569,0.000409569,0.000409569
11,512.967,0.95448,2.6583,0.01233,0.54996,0.50017,0.51257,0.37041,0.99664,1.5971,0.01827,0.000408743,0.000408743,0.000408743
12,553.085,0.96954,2.52189,0.01227,0.56636,0.49673,0.52005,0.37464,1.00676,1.60612,0.01887,0.000407918,0.000407918,0.000407918
13,593.236,0.93825,2.355,0.01181,0.58312,0.50271,0.53103,0.3828,1.00261,1.5879,0.01856,0.000407092,0.000407092,0.000407092
14,632.537,0.94298,2.29053,0.01213,0.58466,0.49962,0.52148,0.3705,1.03355,1.60459,0.01967,0.000406266,0.000406266,0.000406266
15,671.506,0.9617,2.25349,0.01241,0.61324,0.50436,0.54666,0.39806,1.00802,1.56195,0.01854,0.000405441,0.000405441,0.000405441
16,710.823,0.95719,2.12829,0.01207,0.61245,0.51983,0.55115,0.39279,1.03078,1.54517,0.01927,0.000404615,0.000404615,0.000404615
17,750.838,0.93981,2.00718,0.01191,0.61179,0.52598,0.56108,0.40354,1.02216,1.52672,0.0189,0.000403789,0.000403789,0.000403789
18,791.008,0.9258,1.97873,0.01203,0.61752,0.52975,0.56455,0.40393,1.02981,1.52632,0.01952,0.000402964,0.000402964,0.000402964
19,830.374,0.93837,1.94933,0.0122,0.61185,0.54007,0.56913,0.41102,1.01562,1.51131,0.01873,0.000402138,0.000402138,0.000402138
20,869.157,0.94155,1.86845,0.01214,0.633,0.53805,0.57241,0.41042,1.02297,1.50071,0.01896,0.000401312,0.000401312,0.000401312
21,907.477,0.93285,1.82894,0.01222,0.64168,0.53753,0.5748,0.41551,1.01187,1.52266,0.01866,0.000400487,0.000400487,0.000400487
22,946.462,0.92044,1.76391,0.0119,0.63849,0.54711,0.58433,0.41892,1.0264,1.49625,0.0189,0.000399661,0.000399661,0.000399661
23,985.952,0.90133,1.68542,0.01166,0.65281,0.5324,0.57516,0.41127,1.04633,1.53465,0.01957,0.000398835,0.000398835,0.000398835
24,1025.52,0.93572,1.6439,0.01175,0.63617,0.53909,0.57294,0.40646,1.05542,1.52356,0.02006,0.00039801,0.00039801,0.00039801
25,1064.77,0.92398,1.58085,0.01177,0.63402,0.54084,0.57458,0.40934,1.04793,1.52414,0.01984,0.000397184,0.000397184,0.000397184
26,1103.47,0.90632,1.58443,0.01157,0.65828,0.53988,0.57874,0.4091,1.04789,1.51085,0.01959,0.000396358,0.000396358,0.000396358
27,1141.92,0.90029,1.54567,0.01229,0.64035,0.54622,0.57076,0.40488,1.05031,1.52694,0.01952,0.000395533,0.000395533,0.000395533
28,1182.06,0.9106,1.51415,0.01179,0.63914,0.54756,0.5751,0.40942,1.04674,1.51345,0.01948,0.000394707,0.000394707,0.000394707
29,1221.9,0.90832,1.45834,0.01173,0.64165,0.54664,0.58266,0.41769,1.04775,1.51315,0.01961,0.000393882,0.000393882,0.000393882
30,1261.48,0.89363,1.38026,0.01136,0.6514,0.5445,0.58038,0.41192,1.05447,1.51886,0.01987,0.000393056,0.000393056,0.000393056
31,1300.2,0.90237,1.38525,0.01158,0.6538,0.53508,0.58421,0.41733,1.0454,1.5168,0.01951,0.00039223,0.00039223,0.00039223
32,1338.55,0.89681,1.37729,0.01168,0.64536,0.54359,0.578,0.40913,1.06083,1.49454,0.01989,0.000391405,0.000391405,0.000391405
33,1377.93,0.90242,1.38601,0.01164,0.65635,0.54168,0.58304,0.41333,1.05223,1.52967,0.01971,0.000390579,0.000390579,0.000390579
34,1417.6,0.87153,1.34315,0.01117,0.64601,0.54612,0.57957,0.41095,1.05889,1.51023,0.01972,0.000389753,0.000389753,0.000389753
35,1456.85,0.86062,1.27484,0.01124,0.65294,0.54629,0.58701,0.41756,1.06248,1.49398,0.01981,0.000388928,0.000388928,0.000388928
36,1496.11,0.8882,1.26599,0.01113,0.66992,0.54828,0.59135,0.42039,1.07101,1.50122,0.02013,0.000388102,0.000388102,0.000388102
37,1534.37,0.88242,1.2646,0.01125,0.66304,0.54375,0.5874,0.41442,1.08886,1.52295,0.02088,0.000387276,0.000387276,0.000387276
38,1573.01,0.87899,1.22471,0.01118,0.66826,0.54587,0.59251,0.4244,1.06044,1.51063,0.01982,0.000386451,0.000386451,0.000386451
39,1611.93,0.85172,1.21869,0.01107,0.68036,0.5594,0.60168,0.42497,1.07189,1.48487,0.02045,0.000385625,0.000385625,0.000385625
40,1651.19,0.87674,1.21034,0.01115,0.66934,0.55124,0.5961,0.42013,1.06957,1.50312,0.02017,0.000384799,0.000384799,0.000384799
41,1690.52,0.88352,1.18473,0.01126,0.65981,0.56591,0.60304,0.42672,1.08435,1.48751,0.02057,0.000383974,0.000383974,0.000383974
42,1729.3,0.87229,1.15351,0.01101,0.6608,0.55609,0.59413,0.41936,1.07645,1.49042,0.02066,0.000383148,0.000383148,0.000383148
43,1767.6,0.86692,1.17733,0.01091,0.66904,0.55143,0.58693,0.41578,1.07458,1.51858,0.01993,0.000382322,0.000382322,0.000382322
44,1806.42,0.85699,1.14282,0.01112,0.66119,0.56092,0.60036,0.42499,1.07877,1.48561,0.02036,0.000381497,0.000381497,0.000381497
45,1845.46,0.86269,1.09207,0.01098,0.67771,0.56168,0.60476,0.42667,1.08195,1.49328,0.02057,0.000380671,0.000380671,0.000380671
46,1884.84,0.84878,1.11962,0.01082,0.6797,0.55044,0.5987,0.42554,1.0781,1.49555,0.02032,0.000379845,0.000379845,0.000379845
47,1924.03,0.84642,1.12799,0.01094,0.67409,0.55429,0.59833,0.42418,1.07904,1.53977,0.02045,0.00037902,0.00037902,0.00037902
48,1962.18,0.85118,1.1046,0.01079,0.67048,0.53784,0.58546,0.4184,1.07734,1.54561,0.02034,0.000378194,0.000378194,0.000378194
49,2000.03,0.84935,1.10388,0.01076,0.66941,0.54693,0.59196,0.41979,1.08691,1.52096,0.02064,0.000377368,0.000377368,0.000377368
50,2039.16,0.854,1.05223,0.0104,0.66749,0.55754,0.5958,0.42448,1.08769,1.50955,0.0206,0.000376543,0.000376543,0.000376543
51,2078.82,0.85308,1.0739,0.01105,0.67471,0.56157,0.60154,0.42759,1.07853,1.50193,0.02031,0.000375717,0.000375717,0.000375717
52,2117.74,0.82102,1.03074,0.01058,0.68377,0.56317,0.60613,0.42828,1.07879,1.49009,0.02043,0.000374891,0.000374891,0.000374891
53,2156.58,0.83014,1.01826,0.01041,0.66391,0.54562,0.58844,0.41484,1.11034,1.53926,0.021,0.000374066,0.000374066,0.000374066
54,2194.51,0.8234,1.00008,0.01067,0.67775,0.55491,0.5968,0.42218,1.08017,1.53628,0.02011,0.00037324,0.00037324,0.00037324
